name010#0,"""Pojie."""
text010_A#0,"""¡Vamos! ¿Qué tal esta ciudad? No es linda"""
text020_A#0,"""Si quieres que te guíe, dímelo en cualquier momento."""
text010#0,"""¡Oh! Eres tú. ¿Qué? ¿Te has enterado de que te estoy buscando?"""
text020#0,"""Sí, lo hice. Quería darte un regalo de bienvenida. Sólo buscaba algo bonito."""
text030#0,"""Así que se me ocurrió un gran regalo, pero no sé dónde lo puse."""
text040#0,"""Recuerdo haberlo puesto en un contenedor de artículos hace mucho tiempo."""
text050#0,"""Me pregunto qué contenedor era, Hmmm..."""
text060#0,"""¡Que mal! ¿Siento que estoy perdiendo la cabeza, pero puedes ayudarme a encontrarla?"""
text010_B#0,"""¿Qué piensas? ¿Crees que puedes encontrarlo?"""
text010_C#0,"""¿Has tenido ya la oportunidad de echar un vistazo a la ciudad? Si es así, puede que quieras volver con Garoa."""
