Title#0,"""Основы Форсов"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-ая задача: используйте Just Attack;<br>2-ая задача: Использовать последовательные<br>Just Attack;<br>3-я задача: Использовать Just Attack<br>с заряженными техниками;<br>4-ая задача: Используйте талис;<br>5-ая задача: Боевая подготовка."""
SimpleExplanation#0,"""Выполните 5 задач!"""
Training1#0,"""Используйте Just Attack с техниками"""
Training2#0,"""Используйте последовательные Just Attack с техниками"""
Training3#0,"""Используйте Just Attack с заряженными техниками"""
Training4#0,"""Используйте заряженные техники с помощью талиса"""
Training4_1#0,"""Атакуйте всех врагов одновременно"""
Training5#0,"""Уничтожьте противников"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
Retry_5#0,"""5-ая задача"""
