Title#0,"""Основы Тектеров"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-ая задача: Тренировка с вандом<br>2-ая задача: Используйте Resta<br>3-я задача: Используйте Zanverse<br>4-ая задача: Используйте Zondeel<br>5-ая задача: Боевая подготовка"""
SimpleExplanation#0,"""Выполните 5 задач!"""
Training1#0,"""Атакуйте взрывной техникой"""
Training2#0,"""Востановите HP используя Resta"""
Training3#0,"""Нанесите дополнительный урон, используя Zanverse"""
Training4#0,"""Притяните врагов, используя Zondeel"""
Training5#0,"""Уничтожьте противников"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
Retry_5#0,"""5-ая задача"""
