Title#0,"""Основы Ганнеров"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-ая задача: Используйте Фотон Арт<br>Amass Gear<br>2-ая задача: Передвигайтесь используя<br>S-Rolls<br>3-я задача: Используйте Chain<br>4-ая задача：Боевая подготовка"""
SimpleExplanation#0,"""Выполните 4 задачи!"""
Training1#0,"""Используйте фотон арт Amass Gear"""
Training2#0,"""Передвигайтесь используя S-Rolls"""
Training3#0,"""Используйте Chain"""
Training4#0,"""Уничтожьте противников"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
