Title#0,"""Основы Хантера"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-я задача: Выполните Just Attack PA;<br>2-я задача: Выполните Just Guard;<br>3-я задача: обучение мечу;<br>4-я задача: обучение цепным лансам;<br>5-я задача: обучение партизанам;<br>6-я задача: боевая подготовка."""
SimpleExplanation#0,"""Выполните 6 задач!"""
Training1#0,"""Выполните Just Attack PA"""
Training2#0,"""Выполните Just Guard"""
Training3#0,"""Накопите Gear и используйте Фотон Арт"""
Training4#0,"""Накопите Gear и используйте Фотон Арт"""
Training5#0,"""Накопите Gear и используйте Фотон Арт"""
Training6#0,"""Уничтожьте противников"""
Retry_1#0,"""1-я задача"""
Retry_2#0,"""2-я задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-я задача"""
Retry_5#0,"""5-я задача"""
Retry_6#0,"""6-я задача"""
