Title#0,"""Основы Брейверов"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-ая задача: Выполните Just Attack'у Фотон Артом;<br>2-ая задача: Тренировка контратаки (Counter);<br>3-я задача: Использование Gear катаны;<br>4-ая задача: Использование Bullet Bow в виде из-за плеча;<br>5-ая задача: Боевая практика."""
SimpleExplanation#0,"""Выполните 5 задач!"""
Training1#0,"""Используйте Just Attack PA"""
Training2#0,"""Успешно выполните контратаку (Counter)"""
Training3#0,"""Активируйте Gear, использовав контратаку (Counter)"""
Training4#0,"""Прицельтесь на слабую точку"""
Training5#0,"""Уничтожьте противников"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
Retry_5#0,"""5-ая задача"""
