Title#0,"""Основы ванда"""
Explanation#0,"""■Это тренировочная программа.<br>――――――――――――――――――――<br>1-я задача: Тренировка действий оружия;<br>2-я задача: Тренировка шкалы ванда;<br>3-я задача: Тренировка в реальном бою.<br>※В учебных целях на время проведения<br>данной тренировки экипировка будет<br>скорректирована."""
SimpleExplanation#0,"""Выполните 3 задачи!"""
Training7_1#0,"""Используйте PA на враге"""
Training7_3#0,"""Используйте на враге PA повышенной мощности"""
Training7_4#0,"""Заблокируйте атаку врага с помощью Charge Protect"""
Training8_1#0,"""Заполните шкалу оружия на максимум"""
Training8_2#0,"""Используйте Protect Release"""
Training9_2#0,"""Разберитесь со всеми врагами!"""
Retry_1#0,"""1-я задача"""
Retry_2#0,"""2-я задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-я задача"""
Retry_5#0,"""5-я задача"""
Retry_6#0,"""6-я задача"""
Retry_7#0,"""7-я задача"""
Retry_8#0,"""8-я задача"""
Retry_9#0,"""9-я задача"""
Retry_10#0,"""10-я задача"""
