Title#0,"""Основы Файтеров"""
Explanation#0,"""*Меню обучения<br>――――――――――――――――――――<br>1-ая задача: Тренировка использования Gear на парных кинжалах;<br>2-ая задача: Тренировка использования Gear на двойной глефе<br>3-я задача: Тренировка использования Gear на кастетах;<br>4-ая задача: Использование Brave Stance;<br>5-ая задача: Использование Wise Stance;<br>6-ая задача: боевая подготовка."""
SimpleExplanation#0,"""Выполните 6 задач!"""
Training1#0,"""Используйте Фотон Арт Amass Gear"""
Training2#0,"""Используйте Gear, чтобы активировать Kamaitachi"""
Training3#0,"""Заполните шкалу Gear до максимума"""
Training4#0,"""Уничтожьте противников используя Brave Stance"""
Training5#0,"""Уничтожьте противников используя Wise Stance"""
Training6#0,"""Уничтожьте противников"""
Retry_1#0,"""Задание 1"""
Retry_2#0,"""Задание 2"""
Retry_3#0,"""Задание 3"""
Retry_4#0,"""Задание 4"""
Retry_5#0,"""Задание 5"""
Retry_6#0,"""Задание 6"""
