Title#0,"""Основы двойной глефы"""
Explanation#0,"""■Это тренировочная программа.<br>――――――――――――――――――――<br>1-ая задача: Тренировка шкалы двойной глефы;<br>2-ая задача: Тренировка действий оружия;<br>3-я задача: Исп-е уникальных умений с двойной глефой;<br>4-ая задача: Тренировка в реальном бою.<br>※В учебных целях на время проведения<br>данной тренировки экипировка будет<br>скорректирована."""
SimpleExplanation#0,"""Выполните 4 задачи!"""
Training1_1#0,"""Атакуйте врагов, чтобы заполнить шкалу"""
Training1_2#0,"""Примите атаку врага"""
Training1_3#0,"""Используйте усиленную атаку"""
Training2_1#0,"""Ударьте врага контратакой"""
Training2_2#0,"""Ударьте с помощью отклоняющего комбо"""
Training3_1#0,"""Используйте PA с направляющим вводом"""
Training3_2#0,"""Используйте PA без направляющего ввода"""
Training3_3#0,"""Ударьте врага с помощью Quick Take"""
Training9_2#0,"""Разберитесь со всеми врагами!"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
Retry_5#0,"""5-ая задача"""
Retry_6#0,"""6-ая задача"""
Retry_7#0,"""7-ая задача"""
Retry_8#0,"""8-ая задача"""
Retry_9#0,"""9-ая задача"""
Retry_10#0,"""10-ая задача"""
