Title#0,"""Основы Героя"""
Explanation#0,"""1-я задача: Используйте удерживаемую атаку меча<br>2-я задача: Используйте и зарядите Spirit Bullet<br>3-я задача: Используйте парные пистолеты-пулемёты<br>4-я задача: Используйте перезарядку парных ПП<br>5-я задача: Используйте атаки и PA талиса<br>6-я задача: Используйте PA талиса в комбо<br>7-я задача: Переместитесь, используя умение талиса<br>8-я задача: Зарядите шкалу Героя<br>9-я задача: Активируйте Hero Time Finish<br>10-я задача: Уничтожьте противников"""
SimpleExplanation#0,"""Выполните 10 задач!"""
Training1#0,"""Ударьте врага заряженной атакой меча"""
Training2#0,"""Попадите во врага Spirit Bullet"""
Training2_1#0,"""Попадите во врага заряженной Spirit Bullet"""
Training3#0,"""Победите врага обычной атакой"""
Training4#0,"""Перезарядитесь за 2 секунды"""
Training4_1#0,"""Выполните перезарядку по JA за 2 секунды"""
Training5#0,"""Попадите во врага третьей атакой обычного комбо"""
Training5_1#0,"""Попадите во врага Jet Wheel"""
Training6#0,"""Выполните заряжаемую атаку талиса"""
Training7#0,"""Успешно переместитесь 3 раза"""
Training8#0,"""Зарядите шкалу Героя"""
Training9#0,"""Активируйте Hero Time Finish"""
Training10#0,"""Уничтожьте противников"""
Retry_1#0,"""1-я задача"""
Retry_2#0,"""2-я задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-я задача"""
Retry_5#0,"""5-я задача"""
Retry_6#0,"""6-я задача"""
Retry_7#0,"""7-я задача"""
Retry_8#0,"""8-я задача"""
Retry_9#0,"""9-я задача"""
Retry_10#0,"""10-я задача"""
