Title#0,"""Основы Фантома"""
Explanation#0,"""1-ая задача: Используйте Stealth Tech Charge<br>2-ая задача: Используйте действия рода и ФА<br>3-я задача: Используйте родом ФА и техники<br>4-ая задача: Используйте действия катаны и ФА<br>5-ая задача: Используйте шифт версии ФА катаны<br>6-ая задача: Используйте действия винтовки и ФА<br>7-ая задача: Используйте шифт версии ФА винтовки<br>8-ая задача: Используйте Phantom Marker<br>9-ая задача: Используйте Phantom Time Finish<br>10-ая задача: Уничтожьте противников"""
SimpleExplanation#0,"""Выполните 10 задач!"""
Training1#0,"""Станьте невидимкой с помощью Stealth Tech Charge"""
Training2_1#0,"""Используйте действия оружия рода"""
Training2_2#0,"""Используйте ФА рода"""
Training2_3#0,"""Используйте шифт версию ФА рода"""
Training3_1#0,"""Используйте ФА рода после шифт версии ФА"""
Training3_2#0,"""Используйте техническую атаку рода"""
Training4_1#0,"""Используйте действие оружия катаны"""
Training4_2#0,"""Используйте ФА катаны"""
Training4_3#0,"""Используйте шифт версию ФА катаны"""
Training5#0,"""Используйте ФА катаны после шифт версии ФА"""
Training6_1#0,"""Используйте действие оружия винтовки"""
Training6_2#0,"""Используйте ФА винтовки"""
Training6_3#0,"""Используйте шифт версию ФА винтовки"""
Training7#0,"""Используйте ФА винтовки после шифт версии ФА"""
Training8_1#0,"""Разместите маркер"""
Training8_2#0,"""Взорвите маркер"""
Training9_1#0,"""Зарядите шкалу Фантома"""
Training9_2#0,"""Вктивируйте Phantom Time Finish"""
Training10#0,"""Уничтожьте противников"""
Retry_1#0,"""1-ая задача"""
Retry_2#0,"""2-ая задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-ая задача"""
Retry_5#0,"""5-ая задача"""
Retry_6#0,"""6-ая задача"""
Retry_7#0,"""7-ая задача"""
Retry_8#0,"""8-ая задача"""
Retry_9#0,"""9-ая задача"""
Retry_10#0,"""10-ая задача"""
