Title#0,"""Основы Dark Blast"""
Explanation#0,"""1-я задача: Активируйте Dark Blast<br>2-я задача: Используйте комбинацию атак<br>3-я задача: Разрушьте дьявольскую стену<br>4-я задача: Используйте Darkness Wall<br>5-я задача: Используйте Ultimate Impact<br>6-я задача: Уничтожьте противников"""
SimpleExplanation#0,"""Выполните 6 задач!"""
Training1#0,"""Активируйте Dark Blast"""
Training2#0,"""Используйте третью нормальную атаку"""
Training2_1#0,"""Используйте пятую нормальную атаку"""
Training3#0,"""Разрушьте дьявольскую стену с помощью PA"""
Training4#0,"""Используйте Darkness Wall"""
Training5#0,"""Используйте Ultimate Impact"""
Training6#0,"""Уничтожьте противников"""
Retry_1#0,"""1-я задача"""
Retry_2#0,"""2-я задача"""
Retry_3#0,"""3-я задача"""
Retry_4#0,"""4-я задача"""
Retry_5#0,"""5-я задача"""
Retry_6#0,"""6-я задача"""
