msc_020340_0005#0,"""หลายวันต่อมา"""
msc_020340_0010#0,"""นี่ คุณพ่อ ในที่สุดพวกเราก็เอาชนะ Dark Falz ได้แล้วนะรู้มั้ย?"""
msc_020340_0020#0,"""แต่ก็น่าเสียดายนะ..."""
msc_020340_0030#0,"""มีศัตรูใหม่ปรากฏตัวขึ้นมา ดูเหมือนว่าคงจะอีก<br>พักใหญ่ๆ เลยล่ะ กว่าแถวนี้จะกลับมาสงบสุขอีกครั้ง"""
msc_020340_0040#0,"""ขอโทษด้วยนะ"""
msc_020340_0050#0,"""แต่ว่า รอหน่อยนะ"""
msc_020340_0060#0,"""พวกเราจะอยู่ดูเรื่องนี้จนกว่าจะถึงตอนจบให้ได้เลย"""
msc_020340_0070#0,"""ไปกันเถอะ ครอว์ฟอร์ด (Crawford) และคนอื่นๆ กำลังรอพวกเราอยู่นะ"""
msc_020340_0080#0,"""...มาน่อน?"""
msc_011260_0050#0,"""ซากศูนย์วิจัยนี้มัน..."""
msc_011260_0060#0,"""ประกาศถึงสมาชิก ARKS ทุกท่าน"""
msc_011260_0070#0,"""เราได้รับการยืนยันถึงการปรากฏตัวของพวก DOLLS <br>ที่ 'ป่าเรซอล (Resol Forest)' และ 'ซากศูนย์วิจัยแวนฟอร์ด (Vanford Laboratory Ruins)' ค่ะ"""
msc_011260_0080#0,"""ขอให้ ARKS ที่อยู่บริเวณใกล้เคียง<br>เปลี่ยนเข้าสู่สภาวะเฝ้าระวังด้วยนะคะ"""
msc_011260_0090#0,"""นี่ไอน่านะ"""
msc_011260_0100#0,"""คุณไอน่าเหรอคะ? มีอะไรหรือเปล่าคะ?"""
msc_011260_0110#0,"""พวกเราก็พร้อมปฏิบัติงานนะ<br>มีอะไรให้พวกเราทำบ้างไหม?"""
msc_011260_0120#0,"""ถ้าอย่างนั้น รบกวนมุ่งหน้าไปยังซากศูนย์วิจัยแวนฟอร์ด (Vanford Laboratory Ruins) หน่อยได้ไหมคะ?<br>โปรดรายงานสถานการณ์ในพื้นที่ด้วยค่ะ"""
msc_011260_0130#0,"""สำหรับที่ป่าเรซอล (Resol Forest)<br>ทีมของบรูเดอร์ (Bruder) กำลังมุ่งหน้าไปแล้วค่ะ"""
msc_011260_0140#0,"""เข้าใจแล้ว พวกเราจะออกเดินทางเดี๋ยวนี้แหละ"""
msc_011260_0150#0,"""ซากศูนย์วิจัยสินะ...<br>ก็คงจะพอดีกับพวกเราในตอนนี้แหละนะ"""
msc_011260_0160#0,"""...ดูเหมือนว่าจะมี ARKS กลุ่มอื่นอยู่ในพื้นที่นั้นด้วยนะคะ<br>โปรดไปสมทบกับพวกเขาและรับมือร่วมกันด้วยค่ะ"""
msc_011260_0170#0,"""รับทราบค่ะ"""
msc_011260_0180#0,"""ฉันพร้อมที่จะออกเดินทางได้เลยนะ<br>แล้วพวกเธอสองคนล่ะ เตรียมตัวเสร็จรึยัง?"""
msc_011260_0190#0,"""กำลังจะทำเดี๋ยวนี้แหละ!"""
msc_011260_0200#0,"""เธอเองก็ด้วยนะ<br>ถ้าพร้อมแล้วก็มารวมตัวกันล่ะ"""
