Begin#0,"""開始5087"""
Success#0,"""成功5087"""
Failure#0,"""失敗5087"""
Dead#0,"""自分死亡5087"""
BuddyDead#0,"""相手死亡5087"""
Evolution#0,"""発展5087"""
Begin#1,"""/mn15 /ci2 1 이야- 정확한 타이밍이네!<br>꽤나 어려운 상황이었지 뭐야!<br>조금만 도와주지 않을래?"""
Success#1,"""/mn15 /ci2 1 고마워, 덕분에 살았어!<br>2명이라면 가능하지 않을까 싶었지만<br>조금 들떠 있었던 모양이야."""
Failure#1,"""/mn1 앗차-……실패해버렸네.<br>네 발목을 잡는 것도 좀 그렇고<br>얌전히 철수하도록 할까."""
Dead#1,"""어라라, 벌써 움직일 수 없다니.<br>방심은 금물, 이란 거네-……"""
BuddyDead#1,"""미안해, 이오!<br>이쪽이 어떻게든 해줄테니까!<br>무리하지 말고 쉬고 있어!"""
Begin#2,"""/ci2 1 이오도 참, 의욕만 앞서서는.<br>하지만, 나도 같은 기분이니<br>조금 실례하도록 할까!"""
Success#2,"""/ci2 2 뭐-, 괜찮아 괜찮아!<br><%me>라면<br>분명 어떻게든 해줄 거니까. 그렇지?"""
Failure#2,"""더 이상 이 아이에게<br>무리를 시키면 안되겠네.<br>먼저 돌아가겠지만, 응원하고 있을게!"""
Dead#2,"""어라라, 힘든 싸움이라는 건<br>알고 있었지만 말야……"""
BuddyDead#2,"""이오, 너무 나갔어-.<br>기분은 알겠지만 말야<br>이럴때야말로 무리는 금물이야."""
Begin#3,"""/ci2 1 도우러 왔어!<br>근데, 네가 먼저 와 있었구나.<br>그럼, 미력하게나마 도와줄게!"""
Success#3,"""/mn15 /ci2 1 해냈구나, 역시나 수호휘사!<br>우리들이 나설 자리가 아니었을지도 모르겠네-.<br>좋아, 쓱싹 구조해주자!"""
Failure#3,"""/mn1 큿！？<br>틀렸어, 실패하고 말았네……"""
Dead#3,"""/mn1 큿！？<br>틀렸어, 실패하고 말았네……"""
BuddyDead#3,"""/mn2 이오!?<br>잘도 해줬겠다!"""
