Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn18 /ci2 5 오오!\u3000그대들인가!<br>조금 도와주지 않겠는가.<br>원체 적의 수가 많아서 말이지."""
Success#1,"""/mn15 /ci2 3 t5 잘 해주었다, 도움이 됐어!<br>역시나 우수한 아크스 제군이군.<br>나도 젊었을 적엔 동료의 위기에……"""
Failure#1,"""/mn1 우욱……<br>이 이상은 늙은이에게 힘들군……<br>미안하지만, 우리는 해산하도록 하지."""
Dead#1,"""/mn13 나도 한 때 이 정도의 상처로는……<br>……쓰러져갔던 것 같기도 하군."""
BuddyDead#1,"""/toge /mn36 /ci3 4 죠제프!<br>일어서는거다!<br>아직 임무는 끝나지 않았어!"""
