name010#0,"""Манон"""
name020#0,"""Надереф"""
name030#0,"""Аина"""
text010#0,"""Затяжной бой не пойдёт нам на пользу.<br>ARKS снаружи больше не выдержут."""
text020#0,"""Он берёт нас на износ...<br>Так он не обделён на интеллект."""
text030#0,"""Только бы сбить этот щит!"""
text040#0,"""Должно быть это генератор щита на хвосте.<br>Может сосредоточимся на нём?"""
text050#0,"""Давайте попробуем!"""
text010_b#0,"""Надереф!<br>Это же?!.."""
text020_b#0,"""Это его щит...<br>Вот почему его защиту не пробить."""
text030_b#0,"""Что же нам делать?.."""
