msc_014070_0010#0,"""เข้าใจล่ะ"""
msc_014070_0020#0,"""ท่านผู้บัญชาการคะ แม้ว่าแผนของทาง<br>เซ็นทรัลซิตี้ (Central City) จะมีเป้าหมายสุดท้ายที่ต่างออกไป..."""
msc_014070_0030#0,"""แต่ฉันคิดว่ามันก็มีความคล้ายคลึง<br>กับแผนที่เราวางเอาไว้อยู่หลายส่วนเลยค่ะ"""
msc_014070_0040#0,"""...คานุย (Kanui) อธิบายแผน<br>ของพวกเราให้พวกนั้นฟังที"""
msc_014070_0050#0,"""รับทราบค่ะ..."""
msc_014070_0060#0,"""ตอนนี้พวกเรากำลังดำเนินการปฏิบัติการ<br>ขนาดใหญ่ในภูมิภาคสเตีย (Stia) แห่งนี้"""
msc_014070_0070#0,"""มันเกี่ยวข้องกับการปราบปรามและยึดการควบคุม<br>ฐานที่มั่นของพวก DOLLS ทั้ง 3 แห่ง ขั้นตอนปัจจุบันก็คือ..."""
msc_014070_0080#0,"""...และนั่นก็คือโครงร่าง<br>คร่าวๆ ของแผนที่เราวางเอาไว้ค่ะ"""
msc_014070_0082#0,"""...งั้นก็แปลว่าเราต้องยึดการควบคุม 'โรงงาน' ของ DOLLS<br>รวมถึงฐานทางเหนือและทางใต้สินะ..."""
msc_014070_0084#0,"""และเราจะเริ่มต้นด้วย<br>การเข้ายึดโรงงานแห่งนี้..."""
msc_014070_0090#0,"""ใช่ค่ะ... ที่นั่นมีพวก DOLLS<br>ที่แข็งแกร่งมากๆ คอยคุ้มกันอยู่..."""
msc_014070_0100#0,"""แม้แต่พวกเราเองก็ยังไม่สามารถ<br>ยึดพื้นที่ตรงนั้นมาได้ทั้งหมดเลยจนถึงตอนนี้"""
msc_014070_0110#0,"""ด้วยจำนวนศัตรูที่มีมากขนาดนั้น เราจึงยังไม่สามารถ<br>แย่งชิงพื้นที่มาจากการควบคุมของพวกมันได้ทั้งหมด..."""
msc_014070_0120#0,"""แต่ตอนนี้เรามีพวกคุณแล้ว ฉันอยากจะ<br>ใช้โอกาสนี้ให้เกิดประโยชน์สูงสุดค่ะ"""
msc_014070_0130#0,"""แผนก็คือการเบี่ยงเบนความสนใจของ<br>ศัตรูในศูนย์วิจัยนั่นด้วยทีมกองหน้า"""
msc_014070_0140#0,"""ในขณะเดียวกัน ท่านผู้บัญชาการเกลน (Glen) จะนำกองกำลังหลักของเรา<br>บุกเข้าไปใจกลางฐานทัพศัตรู และยึดมันมาจากพวกนั้นซะ"""
msc_014070_0150#0,"""ฉันจะให้พวกคุณทั้งสามคนเข้าร่วมกับกองกำลังหลักของเรา ซึ่งฉันเชื่อมั่นว่าพวกคุณจะจัดการพวกมันไม่ให้ลุกขึ้นมาได้อีกแน่"""
msc_014070_0160#0,"""ความล้มเหลวไม่ใช่ทางเลือก ฉันจะทำให้มันสำเร็จ ไม่ว่าจะต้องใช้วิธีไหนก็ตาม..."""
msc_014070_0170#0,"""เข้าใจแล้ว"""
msc_014070_0180#0,"""..."""
msc_014070_0190#0,"""...ออกเดินทางได้"""
msc_014070_0200#0,"""ไม่ต้องห่วง พวกคุณจะไม่ขาดการสนับสนุนตอนอยู่ข้างนอกนั่นแน่ ไปกันเถอะ"""
