msc_014030_0010#0,"""นั่นไง คิดไว้แล้วว่าเธอต้องอยู่ที่นี่!"""
msc_014030_0020#0,"""พวกเธอสองคน...<br>มีอะไรเหรอ?"""
msc_014030_0030#0,"""อ-เอ่อ... ฉันก็ไม่ค่อยแน่ใจหรอกนะ<br>ว่าจะถามเรื่องนี้ยังไงดี แต่..."""
msc_014030_0040#0,"""มาน่อน... ช่วงนี้มีอะไร<br>กวนใจเธออยู่หรือเปล่า?"""
msc_014030_0050#0,"""เปล่าหรอก... ฉันก็แค่...<br>...คิดอะไรเพลินๆ น่ะ"""
msc_014030_0060#0,"""พวกเราได้เรียนรู้อะไรตั้งมากมายเกี่ยวกับ<br>Dark Falz ตอนที่อยู่ลอสต์เซ็นทรัล (Lost Central)..."""
msc_014030_0070#0,"""เราต้องสู้กับบางสิ่งที่กำลังวิวัฒนาการ<br>และแข็งแกร่งขึ้นยิ่งกว่าเดิมซะอีก..."""
msc_014030_0080#0,"""อ๊ะ... นั่นสิ"""
msc_014030_0090#0,"""แต่ไม่เป็นไรหรอก!<br>พวกเราแค่ต้องร่วมมือและสู้ไปด้วยกัน!"""
msc_014030_0100#0,"""จริงด้วย... เธอแข็งแกร่งขึ้นมากเลยนะ ไอน่า<br>เหมือนเป็นคนใหม่เลยล่ะ"""
msc_014030_0110#0,"""แน่นอน เธอเองก็แข็งแกร่งขึ้นเหมือนกันนะ<br>ถึงอย่างนั้นก็เถอะ..."""
msc_014030_0120#0,"""การต่อสู้กับ Dark Falz...<br>มันต้องแลกมาด้วยการเสียสละชีวิตมากมายเหลือเกิน..."""
msc_014030_0130#0,"""พอคิดว่าความโหดร้ายของสงครามพวกนั้น<br>จะแพร่กระจายไปมากกว่านี้... มันก็ทำให้ฉันกลัวน่ะ"""
msc_014030_0140#0,"""เธอมีจิตใจที่อ่อนโยนจังเลยนะ มาน่อน..."""
msc_014030_0150#0,"""ไม่ใช่หรอก!<br>ฉันก็แค่--"""
msc_014030_0160#0,"""ประกาศถึง ARKS ทุกนายที่เตรียมพร้อม<br>อยู่ในเซ็นทรัลซิตี้ (Central City)"""
msc_014030_0170#0,"""ครอว์ฟอร์ด (Crawford) เรียกประชุมด่วน<br>กรุณามารวมตัวกันที่นี่ด้วย ขอบคุณค่ะ"""
msc_014030_0180#0,"""...ไปกันเถอะ"""
msc_014030_0190#0,"""...อ๊ะ มาน่อน..."""
