name_7211#0,"""Xiandy"""
ssn_019050_002_0001#0,"""Thank you for coming. Allow me to introduce myself."""
ssn_019050_002_0002#0,"""I am Xiandy. I'm currently researching the strange phenomenon occuring across Halpha."""
ssn_019050_002_0003#0,"""The reason I've called you here is to aid me by investigating this phenomenon."""
ssn_019050_002_0004#0,"""Halpha's air temperature has not varied significantly throughout the last year, but it has seen a drop in this particular season."""
ssn_019050_002_0005#0,"""A potential consequence of this is the color shift certain trees seem to have undergone."""
ssn_019050_002_0006#0,"""I would like your help in investigating this and other such anomalies."""
ssn_019050_002_0007#0,"""To begin with... Could you collect some Gathering samples that only appear during this season?"""
ssn_019050_002_0008#0,"""I've prepared some special rewards for all who provide assistance."""
ssn_019050_002_0009#0,"""Well then, I'll leave it to you."""
ssn_019050_002_0010#0,"""Thank you for coming."""
ssn_019050_002_0011#0,"""I would like to ask for your cooperation once more for our investigations..."""
ssn_019050_002_0012#0,"""I've prepared some special rewards for all who provide assistance."""
ssn_019050_002_0013#0,"""Well then, I'll leave it to you."""
ssn_019050_002_0014#0,"""Welcome back. You've gathered so much data!"""
ssn_019050_002_0015#0,"""With this, I'll be able to study the source of this temperature drop and its influence on the ecosystem and our foes."""
ssn_019050_002_0016#0,"""During your investigations, I was contacted by someone from another department and gave them your name."""
ssn_019050_002_0017#0,"""They may also have a request for you. Should they ask, please offer them your assistance as well."""
ssn_019050_002_0018#0,"""Thank you for your help."""
ssn_019050_002_0019#0,"""Points can be exchanged for rewards. Please let me know if you require anything."""
ssn_019050_002_0020#0,"""I hope you will continue to aid us."""
ssn_019050_002_0021#0,"""We are eagerly investigating the cause of the temperature drop."""
ssn_019050_002_0022#0,"""Any small bit of data you can offer will help us."""
npc_menu_0001#0,"""Accept Event Tasks"""
npc_menu_0002#0,"""Exchange Seasonal Points for Items"""
npc_menu_0003#0,"""Ask about the Seasonal Event"""
npc_menu_0004#0,"""Close Menu"""
npc_menu_0005#0,"""About Seasonal Events"""
npc_menu_0006#0,"""About the Seasonal Event Character"""
npc_menu_0007#0,"""About Additional Daily/Weekly Tasks"""
npc_menu_0008#0,"""About Mischief Symbols"""
npc_menu_0009#0,"""About Seasonal Gathering"""
npc_menu_0010#0,"""About Seasonal Regional Mags"""
npc_menu_0011#0,"""About Seasonal Enemies"""
npc_menu_0012#0,"""About World Trials"""
npc_menu_0013#0,"""Never mind"""
