LineDuel_DeckSelect_Title_Text#0,"""덱 선택"""
LineDuel_DeckSelect_Message_Text#0,"""사용할 덱을 선택해주세요.<br><yellow>※선택하지 않으면 30초 후,<br>가장 위쪽 덱이 자동으로 선택됩니다.<c>"""
LineDuel_DeckSelect_Message_Text_NPC#0,"""사용할 덱을 선택해주세요."""
LineDuel_Mulligan_Title_Text#0,"""손패 확인"""
LineDuel_Mulligan_Message#0,"""이 패로 배틀을 시작하시겠습니까?<br>한 번만 패를 다시 뽑을 수 있습니다.<br><br><yellow>30초 후 이 패로 배틀을 시작합니다.<c>"""
LineDuel_Mulligan_Message_NPC#0,"""이 패로 배틀을 시작하시겠습니까?<br>한 번만 패를 다시 뽑을 수 있습니다."""
LineDuel_Mulligan_Text1#0,"""시작하기"""
LineDuel_Mulligan_Text2#0,"""패를 다시 뽑기"""
LineDuel_Guide_Text1#0,"""결정"""
LineDuel_Guide_Text2#0,"""1번 이전 상태로 되돌리기"""
LineDuel_Guide_Text3#0,"""손패 확인"""
LineDuel_Guide_Text4#0,"""배틀 개시"""
LineDuel_Guide_Text5#0,"""항복/퇴장"""
LineDuel_Guide_Key1#0,"""<%Decide>"""
LineDuel_Guide_Key2#0,"""<%NextTabDetails>"""
LineDuel_Guide_Key3#0,"""<%TabBack><pict 4space>/<pict 4space><%TabForward>"""
LineDuel_Guide_Key4#0,"""<%Function>"""
LineDuel_Guide_Key5#0,"""<swguidetype BluePrintEscMenu>"""
LineDuel_SpectatorGuide_Text1#0,"""퇴장"""
LineDuel_SpectatorGuide_Key1#0,"""<swguidetype BluePrintEscMenu>"""
LineDuel_SpectatorGuide_Text2#0,"""배속 재생"""
LineDuel_SpectatorGuide_Text2_2#0,"""등배 재생"""
LineDuel_SpectatorGuide_Key2#0,"""<%MultiSelect>"""
LineDuel_SpectatorGuide_Key2_2#0,"""<%ChangeCtrlWindowForward>"""
LineDuel_Battle_Surrender_Title#0,"""메시지"""
LineDuel_Battle_Exit_Title#0,"""메시지"""
LineDuel_Battle_Surrender_Message#0,"""항복하시겠습니까?"""
LineDuel_Battle_Surrender_Error#0,"""거점이 하나도 파괴되지 않아,<br>항복할 수 없습니다."""
LineDuel_Battle_Exit_Message#0,"""이 자리에서 퇴장하시겠습니까?"""
LineDuel_Battle_WithWarningCaneclRematch_Message#0,"""이 자리에서 나가시겠습니까?<br><yellow>※재대전 요청은 취소됩니다.<c>"""
LineDuel_Battle_ExitWithWarningCancelMatchmaking_Message#0,"""이 자리에서 나가시겠습니까?<br><yellow>※매칭은 취소됩니다.<c>"""
LineDuel_Result_Title_Text#0,"""경기 결과"""
LineDuel_Result_Reward#0,"""보상"""
LineDuel_Result_DailyReward#0,"""주간 획득 보상"""
LineDuel_Result_DailyRewardNum#0,"""$(0)/$(1)"""
LineDuel_Result_Rate#0,"""레이트"""
LineDuel_Result_Continue#0,"""계속하기"""
LineDuel_Result_End#0,"""퇴장하기"""
LineDuel_Result_Remach#0,"""재대전하기"""
LineDuel_RateNum_Gain#0,"""<pict ld_rateicon>$(0)(+$(1))"""
LineDuel_RateNum_Lose#0,"""<pict ld_rateicon>$(0)($(1))"""
LineDuel_RateNum_InProgress#0,"""확인 중"""
LineDuel_RateNum_None#0,"""-"""
LineDuel_ItemNum#0,"""$(0)×$(1)"""
LineDuel_Result_Message_Win#0,"""대결에서 승리했습니다."""
LineDuel_Result_Message_Lose#0,"""대결에서 패배했습니다."""
LineDuel_Result_Message_Draw#0,"""대결이 무승부로 끝났습니다."""
LineDuel_Result_Message_Retire#0,"""상대가 퇴장하여,<br>이 경기는 무효 처리됐습니다."""
Popup_NameTextWithTitle#0,"""$(0)$(1): $(2) $(3)"""
Popup_NameTextNoTitle#0,"""$(0)$(1): $(2)"""
Popup_OverrapNameTextWithTitle#0,"""$(0)<yellow>$(1)<c>: $(2) $(3)"""
Popup_OverrapNameTextNoTitle#0,"""$(0)<yellow>$(1)<c>: $(2)"""
MatchingErrorDisconnectTitle#0,"""매칭 에러"""
MatchingErrorDisconnectMessage#0,"""매칭이 취소되었습니다."""
UnknownDisconnectTitle#0,"""에러"""
UnknownDisconnectWindowMessage#0,"""에러가 발생했습니다."""
VSWidget_NameTextForRankMatch#0,"""$(0) ( <pict ld_rateicon>$(1) )"""
VSWidget_NpcTitle#0,"""NPC"""
LineDuel_PlayError_Element#0,"""속성이 다르기 때문에 리라이트 소환이 불가능합니다."""
LineDuel_PlayError_RewriteCost#0,"""소비 PP가 덮어쓰기 전의 카드보다 적기 떄문에 리라이트 소환이 불가능합니다."""
LineDuel_PlayError_Cost#0,"""PP가 부족합니다."""
LineDuel_PlayError_AlreadyPlay#0,"""같은 턴에, 같은 칸에 리라이트 소환을 할 수 없습니다."""
LineDuel_PlayError_CellSeal#0,"""\""소환 봉인\""효과로 인해 소환할 수 없습니다."""
LineDuel_Mulligan_Execute#0,"""패를 다시 뽑았습니다."""
LineDuel_Mulligan_RewriteShortage#0,"""소비 PP가 덮어쓰기 전의 카드보다 적기 떄문에 리라이트 소환이 불가능합니다.."""
LineDuel_Rematch_Toast#0,"""상대편에게 재대전 요청이 들어왔습니다."""
LineDuel_Rematch_Title#0,"""재대전 확인"""
LineDuel_Rematch_Message#0,"""상대가 재대전을 요청했습니다.<br>다시 한 번 대결하시겠습니까?"""
LineDuel_Rematch_Denay_Title#0,"""재대전 확인"""
LineDuel_Rematch_Denay_Message#0,"""상대가 재대전을 거절했습니다.<br>이 자리에서 나가시겠습니까?"""
LineDuel_Rematch_Watching_Title#0,"""메시지"""
LineDuel_Rematch_Watching_Message#0,"""같은 플레이어끼리 대결을 시작했습니다.<br>引き続き観戦しますか？"""
LineDuel_Rematch_Watching_Title2#0,"""메시지"""
LineDuel_Rematch_Watching_Message2#0,"""두 플레이어중 한 명이 퇴장하여,<br>다음 경기는 없습니다.<br>이 자리에서 나가시겠습니까?"""
LineDuel_Title_Text#0,"""라인 스트라이크"""
LineDuel_Menu_Category1#0,"""대전"""
LineDuel_Menu_Category2#0,"""개인 데이터"""
LineDuel_CasualMatch#0,"""언레이트 배틀"""
LineDuel_RankMatch#0,"""레이트 배틀"""
LineDuel_NPCBattle#0,"""NPC 배틀"""
LineDuel_FreeBattleInvitation#0,"""프리 배틀 접수 확인"""
LineDuel_RoomList#0,"""배틀 관전하기"""
LineDuel_RoomList_Text1#0,"""대전 형식"""
LineDuel_RoomList_Text2#0,"""턴"""
LineDuel_RoomList_Text3#0,"""레이트"""
RoomList_RateSlash#0,"""$(0) / $(1)"""
LineDuel_FreeBattle#0,"""프리 배틀"""
LineDuel_AllBattle#0,"""모든 배틀"""
LineDuel_Deck_Title_Text#0,"""덱 리스트"""
LineDuel_GradesScreen_Title_Text#0,"""대전 기록"""
LineDuel_DeckList_Title_Text#0,"""덱 리스트"""
LineDuel_PopUp1#0,"""편집"""
LineDuel_PopUp2#0,"""덱 설정"""
LineDuel_PopUp3#0,"""초기화"""
LineDuel_PopUp4#0,"""복사"""
LineDuel_PopUp5#0,"""붙여넣기"""
LineDuel_CardList_Title_Text#0,"""카드 리스트"""
LineDuel_Details_Title_Text#0,"""카드 상세 정보"""
LineDuel_SkillDetails_Title_Text#0,"""스킬 상세 정보"""
LineDuel_DeckList_Help_Text#0,"""덱 리스트에서 카드를 선택하면 리스트에서 카드를 제거할 수 있습니다."""
LineDuel_DeckName_Text#0,"""덱 이름"""
LineDuel_Sleeve_Text#0,"""카드 슬리브 설정"""
LineDuel_PlayMat_Text#0,"""플레이 매트 설정"""
LineDuel_BoardSurface_Text#0,"""플레이 매트의 매스 투명도 설정"""
LineDuel_Preview_Title_Text#0,"""미리보기"""
LineDuel_Initialization_Title#0,"""메시지"""
LineDuel_Initialization_Message#0,"""이 덱을 초기화하시겠습니까?"""
LineDuel_Initialization_Copy#0,"""덱 내용을 임시로 저장했습니다."""
LineDuel_Copy_Message#0,"""$(0)의 내용을 $(1)으로 복사하시겠습니까?"""
LineDuel_Initialization_Paste#0,"""덱을 복사했습니다."""
LineDuel_Initialization_PasteError#0,"""덱을 복사할 수 없습니다."""
LineDuel_MatchResults_Title_Text#0,"""최근 경기 결과"""
LineDuel_MatchResults_EmptyText#0,"""경기 결과가 없습니다"""
LineDuel_MatchResults_Text1#0,"""플레이어 ID 네임/일시"""
LineDuel_MatchResults_Text2#0,"""대전 형식/결과"""
LineDuel_MatchResults_FilterAll#0,"""모든 배틀"""
LineDuel_GradesScreen_Header#0,"""전적"""
LineDuel_GradesScreen_WinNum_Text#0,"""매칭 별 승리 횟수"""
LineDuel_GradesScreen_WinRate_Text#0,"""최근 승률"""
LineDuel_GradesScreen_CurrentRate_Text#0,"""현재 레이트"""
LineDuel_GradesScreen_HighestRate_Text#0,"""역대 최고 레이트"""
LineDuel_Num#0,"""<pict ld_rateicon>$(0)"""
LineDuel_PercentNum#0,"""$(0)%"""
LineDuel_WinNum#0,"""$(0)승"""
LineDuel_MatchResults_WIN#0,"""승리"""
LineDuel_MatchResults_LOSE#0,"""패배"""
LineDuel_MatchResults_DRAW#0,"""무승부"""
LineDuel_NPCBattle_Strength_Text0#0,"""비기너"""
LineDuel_NPCBattle_Strength_Text1#0,"""베테랑"""
LineDuel_NPCBattle_Strength_Text2#0,"""익스퍼트"""
LineDuel_MatchDetails_Title_Text#0,"""상세 정보"""
LineDuel_MatchDetails_Message1#0,"""다른 플레이어와 매칭하여 대전합니다.<br><yellow>※승패는 레이트에 반영되지 않습니다.<c><br><br>승리보상: <br>$(0)×$(1)<br><br>패배, 무승부 보상: <br>$(2)×$(3)"""
LineDuel_MatchDetails_Message2#0,"""다른 플레이어와 매칭하여 대전합니다.<br><yellow>※승패가 레이트에 반영됩니다.<c><br><br>승리보상: <br>$(0)×$(1)<br><br>패배, 무승부 보상: <br>$(2)×$(3)"""
LineDuel_MatchDetails_Message3#0,"""NPC와 대전합니다.<br><yellow>※승패는 레이트에 반영되지 않습니다.<c><br><br>승리보상: <br>$(0)×$(1)<br><br>패배, 무승부 보상: <br>$(2)×$(3)"""
LineDuel_MatchDetails_Message4#0,"""다른 플레이어의 프리 배틀 신청을 확인합니다.<br><br><yellow>※승패는 레이트에 반영되지 않습니다.<c><br><yellow>※프리 배틀은 보상이 없습니다.<c>"""
LineDuel_CasualBattle_Title#0,"""메시지"""
LineDuel_RankBattle_Title#0,"""메시지"""
LineDuel_NPCBattle_Title#0,"""메시지"""
LineDuel_CasuaBattle_Message#0,"""언레이트 배틀을 시작하시겠습니까?<br><br><yellow>※매칭 후 대전이 끝날 때까지 퇴장할 수 없습니다.<c>"""
LineDuel_RankBattle_Message#0,"""레이트 배틀을 시작하시겠습니까?<br><br><yellow>※매칭 후 대전이 끝날 때까지 퇴장할 수 없습니다.<c>"""
LineDuel_NPCBattle_Message#0,"""NPC 배틀을 시작하시겠습니까?<br><br><yellow>※매칭 후 대전이 끝날 때까지 퇴장할 수 없습니다.<c>"""
LineDuel_InqueCheckMessageWithPartyExit#0,"""파티를 탈퇴하고 $(0)을 시작하시겠습니까?<br><br><yellow>※매칭 후 대전이 끝날 때까지 퇴장할 수 없습니다.<c>"""
LineDuel_Battle_Error1#0,"""\""레이트 배틀\""과 \""언레이트 배틀\""은<br>아크스 거점에서만 플레이할 수 있습니다."""
LineDuel_Battle_Error2#0,"""\""NPC 배틀\""은, 아크스 거점과,<br>크리에이티브 스페이스에서만 플레이할 수 있습니다."""
LineDuel_Reward_Title_Text#0,"""주간 획득 보상"""
