Begin#0,"""開始5230"""
Success#0,"""成功5230"""
Failure#0,"""失敗5230"""
Dead#0,"""自分死亡5230"""
BuddyDead#0,"""相手死亡5230"""
Evolution#0,"""発展5230"""
Begin#1,"""/ci1 1 앗, 선배! 보세요!<br>도와줄 사람이 온 모양이예요!"""
Success#1,"""/ci1 1 저기, 감사했습니다!<br>덕분에 도움이 됐어요!<br>그렇죠, 선배!"""
Failure#1,"""/ci4 1 젠장… 의욕만 앞서서…<br>이 이상은 이제 무리인가…"""
Dead#1,"""이, 이런 곳에서<br>당할 수는…!"""
BuddyDead#1,"""선배!<br>여긴 맡겨 주시고, 조금 쉬고 계세요!"""
Begin#2,"""/ci2 2 †코아†! 원군이 와 줬어!<br>이걸로 형세 역전이다!"""
Success#2,"""/ci2 2 후우, 어떻게든 해냈어!<br>그건 그렇고 답례로는…<br>무얼 드리면 좋을까."""
Failure#2,"""/ci3 2 제길, 실패했나…<br>분하지만, 일단 철수하겠습니다."""
Dead#2,"""/mn5 미안…<br>이제 더 이상은 무리인 것 같아…"""
BuddyDead#2,"""/mn18 †코아†, 무리하지 마!<br>남은 건 우리들에게 맡겨줘!"""
Begin#3,"""/ci2 2 다행이다, 도와줄 수 있으신가요?<br>선물의 답례로 고민하고 있었더니<br>이런 상황이 되어버려서!"""
Success#3,"""/ci2 2 고맙습니다!<br>저녀석, 말은 저렇게 하지만<br>착한 녀석이거든요.<br>분명 감사하고 있을 거예요."""
Failure#3,"""/ci3 2 이럴수가…!<br>분하지만 여기선 물러나자."""
Dead#3,"""/mn5 아아, 아직 해야 할 것들이<br>남아 있는데…"""
BuddyDead#3,"""/mn18 잠깐, 무사시 괜찮아!?<br>여하튼 여기는 맡기고, 쉬고 있어!"""
Begin#4,"""/ci2 2 여성에게의 답례로는…<br>무엇을 건네야 좋을까요?"""
Success#4,"""/ci2 2 역시, 감사는 중요한 일이니까요.<br>고맙습니다!"""
Failure#4,"""/ci3 2 죄송합니다!<br>경황이 없었어요…!"""
Dead#4,"""/mn5 죄송합니다…<br>한계, 인 것 같아요…!"""
BuddyDead#4,"""/mn18 잘도, 내 동료를!<br>용서하지 않겠어!"""
