Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/mn15 /toge /ci2 4 설마 선배와 함께<br>바다에 오는 것이 가능할 줄은…<br>빠르게 놈들을 치워버리고, 놀도록 하죠!"""
Success#1,"""/mn15 /toge /ci2 1 해냈어요, 선배!<br>이걸로 마음 편히 놀 수 있어요!"""
Failure#1,"""/mn10 우웃…<br>기껏 바다에 왔건만."""
Dead#1,"""/mn7 선배, 미안해요…<br>너무 들떠있었나봐요…"""
BuddyDead#1,"""/mn2 선배, 괜찮아요?<br>뒤는 맡겨주세요!"""
Begin#2,"""/mn22 /toge /ci2 4 해변과 함께, 수영복도 입고!<br>이젠 놀 수 밖에 없잖아!<br>…에, 우와앗, 적들이!?"""
Success#2,"""/mn15 /ci2 1 좋아, 대충 정리됐나!<br>남은건 바다를 만끽할 뿐이지!"""
Failure#2,"""/mn1 역시 이런 옷으로는 싸우기 힘든가…<br>죄송해요, 일단 물러나겠습니다!"""
Dead#2,"""/mn7 아아…<br>아직 바다에서<br>놀지 못했는데…"""
BuddyDead#2,"""/mn36 아이카, 괜찮아?<br>여긴 나에게 맡겨줘!"""
