11_voice_NPC_5589_211#0,"""Oh, Leader!! It's me, Gene! Did you recognise me?"""
text01002#0,"""This is my favorite swimsuit. How do I look? I've been working hard on staying in shape!"""
11_voice_NPC_5589_204#0,"""By the way... We've been given some time off, so we thought we'd spend it on planet Wopal. Right, Annette?"""
text01004#0,"""Correct. That is why I'm also wearing my swimsuit. When Gene gets an idea in her head, there's never any time to argue..."""
11_voice_NPC_5591_102#0,"""Wait a minute! Aren't you forgetting about someone? Your Beach Queen walks among you! Bluesy Requiem is here too!"""
text01006#0,"""That's right... Bluesy Requiem is on vacation with us, too..."""
text01007#0,"""What?! Where has this hostility come from? Oh, Gene... And after I offered to teach you my guaranteed trick to make boys swoon, too~."""
11_voice_NPC_5590_201#0,"""Heh... I feel like I've heard that somewhere before. Still, it is reassuring to have Bluesy Requiem with us."""
text01009#0,"""Anyway... Leader! Come on vacation with us! I want this summer to be one to remember!"""
text02001#0,"""Phew... It's so hot today. It's perfect weather for swimsuits."""
11_voice_NPC_5589_204#1,"""Leader, do you have a swimsuit too? You'll be much cooler if you wear it."""
text03001#0,"""Watermelon splitting, beach volleyball,<br>diving, surfing..."""
11_voice_NPC_5589_204#2,"""What should I do next? I just can't choose!"""
11_voice_NPC_5589_201#0,"""Seraphy used to join us at the beach house, but not this time."""
text04002#0,"""I was just thinking about the beach house's ramen... What is it that makes it so delicious?<br>Mmm, ramen... Now I'm hungry..."""
Title#0,"""PSO2es"""
text0001#0,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side! In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#0,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! The Darker Busters, the Weaponoids and even more fun characters are waiting for you to start your new adventure!!"""
Title#1,"""PSO2es"""
text0001#1,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in swimsuits in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side! In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#1,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! A new adventure awaits you!!"""
11_voice_NPC_5589_205#0,"""Thanks to you, our vacation was peaceful and relaxing. Thank you very much!"""
text05002#0,"""How about you, Leader? Did you have fun?"""
11_voice_NPC_5589_204#3,"""We'll be around for a little while longer. If you want to join us, come back any time."""
