name01#0,"""Jasper"""
text00#0,"""Hmm, you did well.<br>Let me express my gratitude."""
text01#0,"""This is a good result.<br>I hope you'll work for me again."""
text02#0,"""Hmm, superb.<br>I am grateful indeed."""
text03#0,"""You've fulfilled my request well.<br>Your expertise deserves thanks."""
text04#0,"""Oh, have you finished?<br>I thank you for your good work."""
text05#0,"""Hmm, this is good.<br>I thank you."""
text06#0,"""A wonderful item.<br>I greatly appreciate this."""
text07#0,"""Yes, I have received it.<br>Let me convey my thanks."""
text08#0,"""Excellent work.<br>Thank you very much."""
text09#0,"""A good item.<br>I am indebted to you.<br>Expect future requests from me."""
text00#1,"""This is wonderful.<br>You have my sincere gratitude."""
text01#1,"""Wonderfully done.<br>I will certainly make use of you again."""
text02#1,"""Hmm, excellent craftsmanship.<br>My deepest gratitude to you."""
text03#1,"""Superbly done.<br>I expect great things from you."""
text04#1,"""You have an interesting technique.<br>This is a wonderful item.<br>Thank you very much."""
text05#1,"""Your effort is obvious in this item.<br>My deepest gratitude to you.<br>Thank you."""
text06#1,"""You have produced a masterpiece.<br>Thank you very much."""
text07#1,"""This is a gem among gems.<br>Wonderful, truly wonderful.<br>It brings me joy simply to behold it."""
text08#1,"""Oh, this is absolutely exquisite.<br>You have my thanks for your efforts."""
text09#1,"""Your talent is remarkable.<br>This is a gem among gems.<br>My sincerest gratitude to you."""
