name01#0,"""Keefus"""
text00#0,"""Ah, you've finished!<br>I'd like more like these from you."""
text01#0,"""Well done.<br>You've helped me out."""
text02#0,"""Hey, good job.<br>Thanks a lot."""
text03#0,"""Flawlessly done.<br>I'll send you more requests in future!"""
text04#0,"""Thank you.<br>You've truly helped me."""
text05#0,"""I have it here.<br>I'm grateful for your hard work."""
text06#0,"""Looks OK to me.<br>I'll send you more requests in future."""
text07#0,"""Good work, thanks.<br>You'll hear from me again."""
text08#0,"""Yes, I've received it.<br>Not bad."""
text09#0,"""Ah, I was waiting.<br>Thank you for your help."""
text00#1,"""Very nice!<br>I can tell you tried your best!<br>Thank you very much."""
text01#1,"""Oh, nicely done.<br>This is amazing!<br>Thank you."""
text02#1,"""Very well made!<br>Thank you.<br>Coming to you was the right decision."""
text03#1,"""Oh-ho, well done.<br>You've exceeded my expectations.<br>I'll ask for you again."""
text04#1,"""I've got a good feeling from this one!<br>You've been very helpful.<br>Thank you again."""
text05#1,"""Amazing.<br>You've created a fine item here.<br>Well done!"""
text06#1,"""You've been very helpful!<br>This is more than I expected.<br>The same again next time, please!"""
text07#1,"""This is the best one I've ever seen.<br>I'm not joking!<br>I'll be sure to ask for you next time. """
text08#1,"""I can't accept something like this!<br>No, it's fine.<br>I'm grateful to you."""
text09#1,"""Wonderfully done.<br>This is much better than I asked for!<br>I'm truly grateful."""
