name01#0,"""Whittier"""
text00#0,"""Thanks!<br>You got me out of a real pickle."""
text01#0,"""This isn't half bad!<br>Help me out again some time."""
text02#0,"""You did it!<br>I'm really grateful!"""
text03#0,"""Alright, this is what I was waiting for!<br>Thanks!"""
text04#0,"""Yep, great work!<br>Thanks a bunch!"""
text05#0,"""You did it, you really did it!<br>I've gotta send more your way!"""
text06#0,"""Good work!<br>Yep, thanks a lot!"""
text07#0,"""I've been waiting for this!<br>Alright, good work!"""
text08#0,"""You did it, you did it!<br>Thank you."""
text09#0,"""Great work!<br>This is just what I asked for, thanks!"""
text00#1,"""Amazing!<br>It's even better than what I wanted!<br>Thank you!"""
text01#1,"""Wow! Good job!<br>I was right to leave it to you!<br>I can't wait for your next one!"""
text02#1,"""That's it, that's it!<br>This is great!<br>Thank you."""
text03#1,"""Nice!<br>This is amazing.<br>I've gotta send more your way!"""
text04#1,"""You really tried with this one!<br>Thanks for your help!<br>See you next time!"""
text05#1,"""Oh, wow!<br>This is such an amazing item!<br>I'm glad I asked you to make it!"""
text06#1,"""Huh?!<br>I can feel the quality already!<br>This is way more than I asked for!"""
text07#1,"""Whaa?!<br>This is amazing!<br>Thank you so much!"""
text08#1,"""Wowie!<br>Such high quality!<br>This is great!"""
text09#1,"""This is a masterpiece!<br>Thank you.<br>You really, really helped me out!"""
