name_7199#0,"""Guiden"""
ssn_014811_0101#0,"""ดีล่ะ งั้นมาเริ่มกันเลย"""
ssn_014811_0102#0,"""รู้เรื่องของ Power Level ใช่มั้ยล่ะ?"""
ssn_014811_0103#0,"""มันคือตัวบ่งบอกความสามารถในการต่อสู้ของ ARKS ที่ Mag ประเมินผลให้น่ะ"""
ssn_014811_0104#0,"""ค่าพวกนั้นรวมทั้งความแข็งแกร่งของตัวเธอเอง แล้วก็อาวุธกับชุดเกราะเข้าไปด้วย"""
ssn_014811_0105#0,"""แปลว่าต้องคอยดูแลรักษาอุปกรณ์ให้ดีด้วยล่ะ"""
ssn_014811_0106#0,"""แน่นอนว่า Special Ability ก็ช่วยเพิ่ม Power Level ได้เหมือนกันนะ"""
ssn_014811_0107#0,"""ถ้ายังไม่ได้ปรับแต่งอาวุธตอนอัปเกรดล่ะก็ ตอนนี้เป็นเวลาเหมาะที่สุดที่จะเรียนรู้เลยล่ะ"""
ssn_014811_0108#0,"""ก่อนอื่น ไปที่ Item Lab แล้วลองแลกเปลี่ยน Special Ability Capsule ดูนะ"""
ssn_014811_0109#0,"""อ้อใช่ ต้องใช้พวกนี้ด้วยสินะ"""
ssn_014811_0110#0,"""ได้รับ C/Stamina II 10 ชิ้น, C/Spirita II 10 ชิ้น, C/Power II 10 ชิ้น และ C/Shoot II 10 ชิ้น"""
ssn_014811_0111#0,"""ได้รับ C/Technique II 10 ชิ้น, Photon Quartz 50 ชิ้น และ Trinite 50 ชิ้น"""
ssn_014811_0112#0,"""ได้รับ C/Stamina II 10 ชิ้น, Photon Quartz 10 ชิ้น และ Trinite 10 ชิ้น"""
ssn_014811_0113#0,"""เธอเลือกได้เลยนะว่าจะใช้แคปซูลไหน ลองดูสิ"""
ssn_014811_0114#0,"""ได้รับ C/Ability III 10 ชิ้น และ C/Power IV 10 ชิ้น"""
ssn_014811_0115#0,"""ได้รับ C/Shoot IV 10 ชิ้น และ C/Technique IV 10 ชิ้น"""
ssn_014811_0116#0,"""ได้รับ Photon Quartz 50 ชิ้น และ Tetracite 50 ชิ้น"""
ssn_014811_0117#0,"""ได้รับ C/Ability III 10 ชิ้น"""
ssn_014811_0118#0,"""ได้รับ Photon Quartz 20 ชิ้น และ Tetracite 20 ชิ้น"""
ssn_014811_0119#0,"""ส่วนแคปซูลที่จะเอาไปแลกน่ะ ขอแนะนำเป็น Ability IV ก็แล้วกัน"""
ssn_014811_0120#0,"""เอาล่ะ ลองดูเลย"""
