name_7199#0,"""Guiden"""
ssn_014810_0001#0,"""อ้าว เธอนั่นเอง ได้ยินมาว่าช่วงนี้ยุ่งอยู่นี่"""
ssn_014810_0002#0,"""อืม... ดูเหมือนจะแข็งแกร่งขึ้นอีกนะเนี่ย"""
ssn_014810_0002_001#0,"""งั้นก็ไปลุยที่ Kvaris มาเหมือนกันสินะ?"""
ssn_014810_0003#0,"""ตอนนี้คงไม่จำเป็นแล้วมั้ง แต่ถ้าอยากได้คำแนะนำอีกก็บอกได้นะ"""
ssn_014810_0004#0,"""พวก ARKS ทุกคนตื่นเต้นที่จะได้เห็นว่าเธอจะทำอะไรได้บ้าง ดูแลตัวเองด้วยล่ะ"""
ssn_014810_0101#0,"""ยินดีต้อนรับ เข้าเรื่องกันเลยดีกว่า"""
ssn_014810_0102#0,"""อยากจะบอกเรื่อง Special Ability Capsule หน่อยน่ะ"""
ssn_014810_0103#0,"""ถึงคนเก่งๆ อย่างเธอคงจะรู้อยู่แล้วก็เถอะ..."""
ssn_014810_0104#0,"""ถ้าอยากรู้ล่ะก็ ฉันสอนเท่าที่รู้ให้ได้นะ"""
ssn_014810_0201#0,"""ถ้ายังไม่ได้ปรับแต่งอาวุธตอนอัปเกรดล่ะก็ ตอนนี้เป็นเวลาเหมาะที่สุดที่จะเรียนรู้เลยล่ะ"""
ssn_014810_0202#0,"""เธอเลือกได้เลยนะว่าจะใช้แคปซูลไหน ลองดูสิ"""
ssn_014810_0203#0,"""ต่อไปอยากให้ลองใส่แคปซูลกับอุปกรณ์ที่ Item Lab ดูน่ะ"""
ssn_014810_0204#0,"""จะเลือกแคปซูลกับอุปกรณ์ไหนก็ตามใจเลย แค่อย่าให้มันเวอร์เกินไปก็พอ"""
ssn_014810_0301#0,"""ไม่เป็นไร ไม่ต้องฝืนหรอก ถ้าอยากรู้เรื่องพวกนี้เพิ่มเมื่อไหร่ ก็รู้ใช่มั้ยว่าต้องไปที่ไหน"""
