ssn_014820_0001#0,"""อุตส่าห์มาที่นี่ ทำได้ดีมาก"""
ssn_014820_0002#0,"""ถ้าอยากฟัง ก็ให้คำแนะนำได้นะ"""
ssn_014820_0101#0,"""ที่ Quest Counter เธอสามารถไปสัมผัสกับเหตุการณ์ในอดีตได้ โดยใช้ข้อมูลที่รวบรวมมาจาก Mag ของทุกคนน่ะ"""
ssn_014820_0102#0,"""มีกระทั่งแบบจำลองการต่อสู้ที่ใช้บันทึกจากการเผชิญหน้าในอดีตด้วยนะ"""
ssn_014820_0103#0,"""ถึงมันจะไม่เหมือนประสบการณ์ต่อสู้จริงๆ ซะทีเดียว แต่ก็มีประโยชน์ถ้าได้ลองนะ"""
ssn_014820_0104#0,"""ไปดูด้วยตัวเองจะดีที่สุด ไปที่ Quest Counter ด้วยคลาสที่อยากจะได้ประสบการณ์เลยสิ"""
ssn_014820_0201#0,"""เข้าใจล่ะ ถ้าเปลี่ยนใจเมื่อไหร่ก็กลับมาได้เสมอนะ"""
ssn_014820_0301#0,"""ที่ Quest Counter เธอสามารถไปสัมผัสกับเหตุการณ์ในอดีตได้ โดยใช้ข้อมูลที่รวบรวมมาจาก Mag ของทุกคนน่ะ"""
ssn_014820_0302#0,"""ประสบการณ์ที่ผ่านมาของเธอถูกบันทึกไว้ใน ARKS History แล้วล่ะ"""
ssn_014820_0303#0,"""น่าจะลองใช้แบบจำลองการต่อสู้ด้วยนะ เอาล่ะ ขอให้โชคดีล่ะกัน"""
ssn_014820_1001#0,"""ไง กำลังอยากเจออยู่พอดีเลย"""
ssn_014820_1002#0,"""มีเรื่องที่อยากจะสอนเกี่ยวกับการสำรวจในอนาคตหน่อยน่ะ"""
ssn_014820_1101#0,"""เข้าใจล่ะ ถ้าเปลี่ยนใจเมื่อไหร่ก็กลับมาได้เสมอนะ"""
ssn_014820_1201#0,"""ในแต่ละเมืองหรือฐานทัพ จะมีคนอย่าง Rediah ที่คอยให้ข้อมูลกับคำแนะนำที่เป็นประโยชน์อยู่น่ะ"""
ssn_014820_1202#0,"""ไม่ต้องเขินไปหรอก ลองแวะไปหาเธอสิ ใช้ประโยชน์จากสิ่งที่เธอสอนให้เต็มที่ ขอให้โชคดีนะ"""
