name_7199#0,"""Guiden"""
ssn_014381_0010#0,"""ดีล่ะ งั้นตั้งใจฟังนะ"""
ssn_014381_0020#0,"""ในการเพิ่ม Power Level ก่อนอื่นก็ต้องหาประสบการณ์จากการต่อสู้"""
ssn_014381_0030#0,"""การอัปเกรดอุปกรณ์ก็สำคัญเหมือนกันนะ รวมไปถึงการปลดล็อก Potential Abilities ของอาวุธด้วย"""
ssn_014381_0040#0,"""อยากให้ลองทบทวนเรื่องพวกนี้ดู การปูพื้นฐานให้แน่นจะช่วยเพิ่มขีดความสามารถของตัวเธอเองให้มากขึ้นด้วย"""
ssn_014381_0050#0,"""ไหนดูซิ... รับวัตถุดิบอัปเกรดพวกนี้ไปสิ เอาไปใช้ได้นะถ้าของไม่พอ"""
ssn_014381_0060#0,"""ต้องลองดูให้ได้เลยนะ"""
ssn_014381_1011#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1021#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1031#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1041#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1051#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1061#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1071#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1081#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_1091#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
ssn_014381_2010#0,"""ได้รับ Photon Chunk 5 ชิ้น, N-Grinder 5 ชิ้น และ 1000<pict reb_meseta> Meseta"""
ssn_014381_1010#0,"""ได้รับ Evolcoat Sword+49, Evolcoat Wire+49, Evolcoat Spear+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1020#0,"""ได้รับ Evolcoat Daggers+49, Evolcoat Saber+49, Evolcoat Knuckles+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1030#0,"""ได้รับ Evolcoat Rifle+49, Evolcoat Launcher+49, Evolcoat Machineguns+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1040#0,"""ได้รับ Evolcoat Rifle+49, Evolcoat Launcher+49, Evolcoat Machineguns+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1050#0,"""ได้รับ Evolcoat Rod+49, Evolcoat Talis+49, Evolcoat Wand+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1060#0,"""ได้รับ Evolcoat Rod+49, Evolcoat Talis+49, Evolcoat Wand+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1070#0,"""ได้รับ Evolcoat Katana+49, Evolcoat Bow+49, Evolcoat Boots+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1080#0,"""ได้รับ Evolcoat Boots+49, Evolcoat Blades+49, Evolcoat Bow+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1090#0,"""ได้รับ Evolcoat Takt+49, Evolcoat Katana+49, Evolcoat Blades+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1100#0,"""ได้รับ Evolcoat Slash+49, Evolcoat Boots+49, Evolcoat Takt+49, Catoria Armor+49, N-Grinder 10 ชิ้น,"""
ssn_014381_1101#0,"""Photon Chunk 100 ชิ้น, Monotite 40 ชิ้น, Dualomite 40 ชิ้น, Trinite 40 ชิ้น และ 300000<pict reb_meseta> Meseta"""
