name_7199#0,"""Guiden"""
ssn_015084_0101#0,"""เอาล่ะ มาคุยกันเถอะ"""
ssn_015084_0102#0,"""อาวุธทุกชิ้นมีขีดจำกัดในการอัปเกรดอยู่นะ"""
ssn_015084_0103#0,"""หากพยายามอัปเกรดให้เกินกว่าจุดนี้ อาจทำให้พลังงานไม่เสถียรและทำลายอาวุธจนพังทลายลงได้"""
ssn_015084_0104#0,"""เพื่อการอัปเกรดที่เสถียร จำเป็นต้องใช้ตัวเร่งปฏิกิริยาพิเศษ"""
ssn_015084_0105#0,"""สิ่งนั้นเป็นที่รู้จักกันในชื่อ 'Arms Refiner'"""
ssn_015084_0106#0,"""Arms Refiner นั้นหายากมาก แต่สามารถสร้างได้ที่ Item Lab นะ"""
ssn_015084_0107#0,"""จำเป็นต้องใช้มันเพื่อเสริมความแข็งแกร่งให้อาวุธก้าวข้ามขีดจำกัดไปได้"""
ssn_015084_0108#0,"""ได้รับ Strugment A x10, Strugment B x10, Strugment C x10, N-Excube x1"""
ssn_015084_0109#0,"""ไอเทมที่ได้รับตรงนี้จะลดลง หากทำเควสต์นี้ด้วยตัวละครอื่นไปแล้ว"""
ssn_015084_0110#0,"""ลองตรวจสอบวัตถุดิบที่ต้องใช้ แล้วไปลองสร้างมันด้วยตัวเองดูสิ"""
