name_7199#0,"""Guiden"""
ssn_014380_0001#0,"""ยินดีต้อนรับ"""
ssn_014380_0002#0,"""มีคำแนะนำเกี่ยวกับ Power Level ให้หน่อยน่ะ"""
ssn_014380_0003#0,"""พูดตามตรง คนเก่งๆ อย่างเธอก็คงไม่จำเป็นเท่าไหร่หรอก"""
ssn_014380_0004#0,"""แต่อย่าลืมว่าตัวเองมาจากไหนล่ะ ฟังไว้ก็ไม่เสียหายหรอกนะ"""
ssn_014380_0101#0,"""ลองหลายๆ วิธีดู จะได้ช่วยเพิ่ม Power Level ของตัวเองไง"""
ssn_014380_0102#0,"""ขอให้โชคดีนะ"""
ssn_014380_0201#0,"""เอาเถอะ ไม่ต้องฝืนหรอก ถ้าอยากได้คำแนะนำเมื่อไหร่ก็มาหาได้ตลอดนะ"""
ssn_014380_0301#0,"""ถ้าเจอปัญหาอะไร ก็ลองนึกถึงสิ่งที่บอกไปนะ"""
ssn_014380_0302#0,"""มาพยายามด้วยกันเถอะ"""
ssn_014380_0401#0,"""ได้ยินเรื่องของเธอมาเหมือนกัน ตัวฉันเองก็มาจาก Aelio น่ะ"""
ssn_014380_0402#0,"""เขาว่ากันว่าเธอเก่งมากเลยนี่ คาดหวังในตัวเธออยู่นะ"""
