name_7199#0,"""Guiden"""
ssn_015080_0001_001#0,"""ถ้าเมื่อไหร่ที่รู้สึกลำบาก ก็จงจำคำแนะนำของฉันเอาไว้นะ"""
ssn_015080_0001_002#0,"""มาพยายามให้เต็มที่ไปด้วยกันเถอะ"""
ssn_015080_0001#0,"""ไง อยู่นี่เองเหรอ"""
ssn_015080_0002#0,"""อืม ดีใจที่เห็นว่าไม่ได้ละเลยการฝึกฝนประจำวันเลยนะ ดูเหมือนว่าจะแข็งแกร่งขึ้นกว่าตอนที่เจอกันครั้งที่แล้วเสียอีก"""
ssn_015080_0003#0,"""ตอนนี้คุณก็แข็งแกร่งมากแล้วล่ะ"""
ssn_015080_0004#0,"""อย่างไรก็ตาม ฉันคิดว่านี่มันยังเทียบไม่ได้เลยนะ เมื่อเทียบกับศักยภาพที่แท้จริงของคุณ"""
ssn_015080_0005#0,"""คุณยังสามารถแข็งแกร่งขึ้นได้อีก ทำไมไม่ลองไปให้ถึงจุดที่สูงขึ้นกว่านี้ดูล่ะ?"""
ssn_015080_0101#0,"""วิธีการที่จะแข็งแกร่งขึ้นไม่ได้มีแค่วิธีเดียวนะ ฉันอยากให้คุณท้าทายตัวเองเพื่อก้าวข้ามขีดจำกัดของตัวเองดู"""
ssn_015080_0102#0,"""ฉันตั้งตารอที่จะได้เห็นคุณเติบโตตามศักยภาพของคุณเลยล่ะ"""
ssn_015080_0201#0,"""เข้าใจแล้วล่ะ กลับมาเมื่อรู้สึกสนใจมากกว่านี้นะ ยินดีต้อนรับเสมอ"""
ssn_015080_0301#0,"""ฉันประหลาดใจเลยนะ ที่เห็นว่าคุณทำอะไรสำเร็จได้มากขนาดนี้ในเวลาอันสั้น"""
ssn_015080_0302#0,"""แค่เห็นคุณยืนอยู่ตรงนั้นก็ทำให้เห็นภาพชัดเจนเลย ว่าคุณมาไกลแค่ไหนแล้ว"""
ssn_015080_0303#0,"""จงพยายามพัฒนาตัวเองต่อไปแบบนั้นแหละ เตรียมตัวให้พร้อมสำหรับการต่อสู้ครั้งต่อไปด้วยล่ะ"""
ssn_015080_1001#0,"""ย้อนกลับไปก่อนหน้านี้ คิดยังไงบ้างกับระยะทางที่คุณผ่านมาถึงตอนนี้?"""
ssn_015080_1002#0,"""พอใจกับจุดที่คุณยืนอยู่ตอนนี้แล้ว หรือรู้สึกว่ายังมีอะไรที่ขาดหายไปอยู่อีก?"""
ssn_015080_1003#0,"""จริงๆ แล้ว เมื่อ ARKS ก้าวข้ามขีดจำกัดการเติบโตของตัวเองไปได้ ก็ยังมีวิธีที่สามารถพัฒนาต่อไปได้อีกนะ"""
ssn_015080_1004#0,"""เพียงแต่ว่า การเติบโตแบบนี้จะไม่ส่งผลต่อระดับพลังของคุณหรอกนะ"""
ssn_015080_1005#0,"""อยากรู้ไหมล่ะว่ามันคืออะไร?"""
ssn_015080_1101#0,"""สำหรับ ARKS ที่เชี่ยวชาญในคลาสใดคลาสหนึ่งจนถึงขั้นสุด และยังคงก้าวข้ามขีดจำกัดของตัวเองไปได้อีก จะมี 'สัญลักษณ์' ปรากฏขึ้นมา"""
ssn_015080_1102#0,"""'สัญลักษณ์' นี้อาจจะไม่ปรากฏขึ้นสำหรับคุณก็ได้ แต่ทำไมไม่ลองดูเป็นส่วนหนึ่งของการฝึกฝนไปเลยล่ะ?"""
ssn_015080_1201#0,"""เข้าใจแล้ว ถ้าถึงเวลาที่คุณต้องการความแข็งแกร่งมากไปกว่านี้อีกล่ะก็ ค่อยมาหาฉันใหม่ก็แล้วกัน"""
ssn_015080_2001#0,"""งั้นก็ต้องการพลังเพิ่มสินะ ดีเลย"""
ssn_015080_2002#0,"""เอาล่ะ ต่อไปมาคุยเรื่องการปลดขีดจำกัดอาวุธกันเถอะ"""
ssn_015080_2003#0,"""เป็นไง? ฟังดูน่าสนใจใช่ไหมล่ะ?"""
ssn_015080_2101#0,"""Arms Refiner นั้นหายากมาก แต่สามารถสร้างได้ที่ Item Lab นะ"""
ssn_015080_2102#0,"""จำเป็นต้องใช้มันเพื่อเสริมความแข็งแกร่งให้อาวุธก้าวข้ามขีดจำกัดไปได้"""
ssn_015080_2103#0,"""ลองตรวจสอบวัตถุดิบที่ต้องใช้ แล้วไปลองสร้างมันด้วยตัวเองดูสิ"""
ssn_015080_2201#0,"""เข้าใจแล้ว ถ้าถึงเวลาที่คุณต้องการความแข็งแกร่งมากไปกว่านี้อีกล่ะก็ ค่อยมาหาฉันใหม่ก็แล้วกัน"""
ssn_015080_2301#0,"""ถ้าเมื่อไหร่ที่รู้สึกลำบาก ก็จงจำคำแนะนำของฉันเอาไว้นะ"""
ssn_015080_2302#0,"""มาพยายามให้เต็มที่ไปด้วยกันเถอะ"""
