Title#0,"""특별 돌파 훈련：Episode1"""
Explanation#0,"""본 임무는 VR 공간에서 실시하며<br>제한시간 내에 에어리어의 가장 깊은<br>곳의 도달을 목표로 하는 주파형<br>훈련이다. 아크스가 경험한 여러가지<br>사상으로 다크 펄스 【엘더】의 부활 시축을<br>중심으로 상징적인 장애물을 선택해<br>재구축했다. 각 능력을 최대한 끌어내<br>돌파하도록.<br>――――――――――――――――――――<br>제한 시간 / 15분"""
SimpleExplanation#0,"""각 행성에 나타난 적을 격퇴하라!"""
NpcComMsg1#0,"""그럼 지금부터<br>특별 훈련을 시작합니다."""
NpcComMsg2#0,"""이 훈련은 최심부의 에너미 격파<br>혹은 제한시간 경과에 따라 달성됩니다"""
NpcComMsg3#0,"""완전 공략을 목표로 열심히 해주세요.<br>건투를 빕니다."""
Area0S#0,"""삼림 에어리어 1"""
Area0L#0,"""행성 나베리우스 삼림 에어리어 1"""
Area1S#0,"""시가지 에어리어 2"""
Area1L#0,"""아크스 쉽 시가지 에어리어 2"""
Area2S#0,"""용제단 에어리어 3"""
Area2L#0,"""행성 암두스키아 용제단 에어리어 3"""
Area3S#0,"""유적 에어리어 4"""
Area3L#0,"""행성 나베리우스 유적 에어리어 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
