Title#0,"""특별 돌파 훈련: Episode2"""
Explanation#0,"""본 임무는, VR 공간에서 제한 시간 내에<br>에어리어의 가장 안쪽을 목표로 하는 돌파형<br>훈련이다. 아크스가 경험한 다양한<br>사건들을 통해 다크 펄스 【패자】의 출현<br>시점을 중심으로 상징적인 장애물을<br>선택해 재구성했다.<br>각자의 능력을 최대한 끌어내어 돌파하라.<br>――――――――――――――――――――<br>제한시간/15분"""
SimpleExplanation#0,"""각 행성에 나타난 적을 격퇴하라!"""
NpcComMsg1#0,"""지굼부터 특별 훈련을 시작합니다~<br>다들, 준비 되셨나요~?"""
NpcComMsg2#0,"""제한 시간 잔뜩, 마지막 에어리어를 향해<br>돌진해 봅시다~!<br>하지만, 난이도가 높아지니 주의하세요."""
NpcComMsg3#0,"""그럼 전송 시작하겠습니다~!<br>힘내세요~!"""
Area0S#0,"""해안 에어리어 1"""
Area0L#0,"""행성 워팔 해안 에어리어 1"""
Area1S#0,"""해안 에어리어 2"""
Area1L#0,"""행성 워팔 해안 에어리어 2"""
Area2S#0,"""옛 채굴장 에어리어 3"""
Area2L#0,"""행성 리리파 옛 채굴장 에어리어 3"""
Area3S#0,"""마더 쉽 내부 에어리어 4"""
Area3L#0,"""침식된 마더 쉽 마더 쉽 내부 에어리어 4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
