Title#0,"""특별 돌파 훈련: Episode4"""
Explanation#0,"""본 임무는, VR 공간에서 제한 시간 내에<br>에어리어의 가장 안쪽을 목표로 하는 돌파형<br>훈련이다. 아크스가 경험한 다양한<br>사건들을 통해 행성 지구에서의 일련의 사건<br>시간축을 중심으로 상징적인 장애물을<br>선택해 재구성했다.<br>각자의 능력을 최대한 끌어내어 돌파하라.<br>――――――――――――――――――――<br>제한시간/15분"""
SimpleExplanation#0,"""각 행성에 나타난 적을 격퇴하라!"""
NpcComMsg1#0,"""지금부터 특별 훈련을 시작합니다!<br>이 훈련의 목표는 제한 시간 내에<br>완전 돌파가 목표입니다!"""
NpcComMsg2#0,"""제가 직접 만든 VR 훈련이예요!<br>난이도도 상당히 높아졌으니<br>열심히 노력해 주세요!"""
NpcComMsg3#0,"""그럼 완전 돌파를 목표로<br>열심히 해봅시다!"""
Area0S#0,"""도쿄 에어리어 1"""
Area0L#0,"""행성 지구 도쿄 에어리어 1"""
Area1S#0,"""라스베가스 에어리어 2"""
Area1L#0,"""행성 지구 라스베가스 에어리어 2"""
Area2S#0,"""괴세구역 화산 동굴 에어리어 3"""
Area2L#0,"""행성 암두스키아 괴세구역 화산 동굴 에어리어 3"""
Area3S#0,"""어스 가이드 본부 지하 에어리어 4"""
Area3L#0,"""행성 지구 어스 가이드 본부 지하 에어리어 4"""
Area4S#0,"""에스카 타워 상층"""
Area4L#0,"""런던 에스카 타워 상층"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
