name010#0,"""란"""
name020#0,"""가로아"""
name030#0,"""아이나"""
name040#0,"""크로포드"""
text010#0,"""이상으로 전투기술제의 모든 일정이 종료되었습니다.<br>여러분, 수고 많으셨습니다!"""
text020#0,"""…어라? 데이터 안에 뭔가 메시지가 있네요."""
text030#0,"""여어. 이걸 보고 있는 사람이 누군지는 모르겠지만,<br>아마 너도 아크스겠지."""
text040#0,"""이 에아리오 타운 데이터는 우리가 훈련에 쓰던 거다.<br>마음대로 써도 상관없어."""
text050#0,"""뭐, 바라건대 너희가 강해지는 데 써 줬으면 해.<br>지키고 싶은 것을 제대로 지킬 수 있도록 말이야."""
text060#0,"""그럼 이만. 서로 힘내자고!"""
text070#0,"""…아버지, 이런 걸 남겨 두셨구나."""
text080#0,"""고마워요, 가로아 씨.<br>이 장소와 여러분의 마음은 저희가 받았습니다."""
text090#0,"""자, 전투기술제에 참가해 준 모두, 다시 한번 수고했어!<br>오늘 함께 싸운 동료들과 앞으로도 나아가자."""
text100#0,"""다들 앞으로도 잘 부탁해!"""
