Title#0,"""Пустынный Кошмар"""
Explanation#0,"""緊急通達です！<br>異世界オメガにて、より強力な<br>【若人】の反応を探知しました！<br>極めて危険であることが予測されるため<br>出撃は実績あるアークスのみに限定します！<br>――――――――――――――――――――<br>クエストクリア可能回数/1回<br>最大与ダメージ制限/999999<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""Победите [Аппрентис]!"""
NpcComMsg1#0,"""Сейчас начнётся операция по бою<br>с повторным появлением<br>Дарк Фальц [Аппрентис]."""
NpcComMsg2#0,"""Цель уже завершила своё тело и<br>теперь направляется в<br>Королевство Эпика.<br>Пожалуйста, завершите операцию<br>и остановите её."""
Area0S#0,"""Иной мир Омега - Эпическая пустыня"""
Area0L#0,"""Иной мир Омега - Эпическая пустыня"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
