name_7245#0,"""เซียมมี่"""
name_7912#0,"""โลซีย์"""
ssn_019130_002_0010#0,"""ส-สวัสดี เอ่อ... ขอบคุณที่มาหานะ จะขอแนะนำตัวอีกครั้ง"""
ssn_019130_002_0020#0,"""ฉันเซียมมี่ ทำงานในแผนกเทคโนโลยี และรับผิดชอบเรื่องการพัฒนาอุปกรณ์..."""
ssn_019130_002_0030#0,"""ซึ่งนำมาสู่เรื่องที่จะคุยกันในวันนี้..."""
ssn_019130_002_0040#0,"""คือ... คือว่า มีคนช่วยวิจัยอุปกรณ์อยู่น่ะ..."""
ssn_019130_002_0050#0,"""เขาชื่อโลซีย์ และก็เป็นอดีตทหารผ่านศึกของ ARKS..."""
ssn_019130_002_0060#0,"""เอ่อ เขาเคยทำภารกิจในฐานะส่วนหนึ่งของหน่วยรบ..."""
ssn_019130_002_0070#0,"""เราได้คุยกันถึงคนอื่นที่น่าจะช่วยได้ และตอนนั้นเองที่ชื่อของคุณถูกพูดถึงขึ้นมา..."""
ssn_019130_002_0080#0,"""ไง เซียมมี่! คนนี้ใช่ไหมที่บอกไว้น่ะ?"""
ssn_019130_002_0090#0,"""คุณโลซีย์?"""
ssn_019130_002_0100#0,"""โทษทีนะที่เรียกมาแบบปุบปับ ได้ยินเรื่องของนายมาเยอะเลยล่ะ!"""
ssn_019130_002_0110#0,"""อย่างที่เห็น ฉันมันเลยวัยหนุ่มมานานแล้ว"""
ssn_019130_002_0120#0,"""ก็เลยคิดอยู่ว่าใครจะมาทำหน้าที่ช่วยงานเซียมมี่แทนฉันได้บ้าง"""
ssn_019130_002_0130#0,"""แล้วก็นึกถึงนายขึ้นมา! นายเหมาะเจาะที่สุดสำหรับ... เอ่อ อะไรนะ..."""
ssn_019130_002_0140#0,"""เซียมมี่ ช่วยเตือนความจำหน่อย... งานที่ได้รับมอบหมายนี่มันเกี่ยวกับอะไรนะ?"""
ssn_019130_002_0150#0,"""เอ่อ รวบรวมข้อมูลการต่อสู้กับ... ศัตรูที่มีสัญลักษณ์น่ะค่ะ"""
ssn_019130_002_0160#0,"""อา ใช่เลย! พนันได้เลยว่าเรื่องแบบนั้นคงเป็นงานถนัดของนายแน่ๆ"""
ssn_019130_002_0170#0,"""ว่าไงล่ะ? จะรับงานนี้ไหม?"""
ssn_019130_002_0180#0,"""คุณโลซีย์ ทำแบบนั้นมันจะดี..."""
ssn_019130_002_0190#0,"""ต-แต่ว่า จะขอร้องด้วยเหมือนกัน ช่วยพวกเรารวบรวมข้อมูลหน่อยนะ"""
ssn_019130_002_0200#0,"""ไม่รู้ว่าจะไปขอให้ใครช่วยแล้ว..."""
ssn_019130_002_0210#0,"""ส-สวัสดี เอ่อ... ขอบคุณที่มาหานะ"""
ssn_019130_002_0220#0,"""ถ้างั้น เอ่อ... จะอธิบายสถานการณ์ให้ฟัง..."""
ssn_019130_002_0230#0,"""คือ... คือว่า มีคนช่วยวิจัยอุปกรณ์อยู่น่ะ..."""
ssn_019130_002_0240#0,"""เขาชื่อโลซีย์ และก็เป็นอดีตทหารผ่านศึกของ ARKS..."""
ssn_019130_002_0250#0,"""เอ่อ เขาเคยทำภารกิจในหน่วยรบ..."""
ssn_019130_002_0260#0,"""เราได้คุยกันถึงคนอื่นที่น่าจะช่วยได้ และตอนนั้นเองที่ชื่อของคุณถูกพูดถึงขึ้นมา..."""
ssn_019130_002_0270#0,"""ไง เซียมมี่! คนนี้ใช่ไหมที่บอกไว้น่ะ?"""
ssn_019130_002_0280#0,"""คุณโลซีย์?"""
ssn_019130_002_0290#0,"""โทษทีนะที่เรียกมาแบบปุบปับ ได้ยินเรื่องของนายมาเยอะเลยล่ะ!"""
ssn_019130_002_0300#0,"""อย่างที่เห็น ฉันมันเลยวัยหนุ่มมานานแล้ว"""
ssn_019130_002_0310#0,"""ก็เลยคิดอยู่ว่าใครจะมาทำหน้าที่ช่วยงานเซียมมี่แทนฉันได้บ้าง"""
ssn_019130_002_0320#0,"""แล้วก็นึกถึงนายขึ้นมา! นายเหมาะเจาะที่สุดสำหรับ... เอ่อ อะไรนะ..."""
ssn_019130_002_0330#0,"""เซียมมี่ ช่วยเตือนความจำหน่อย... งานที่ได้รับมอบหมายนี่มันเกี่ยวกับอะไรนะ?"""
ssn_019130_002_0340#0,"""เอ่อ รวบรวมข้อมูลการต่อสู้กับ... ศัตรูที่มีสัญลักษณ์น่ะค่ะ"""
ssn_019130_002_0350#0,"""อา ใช่เลย! พนันได้เลยว่าเรื่องแบบนั้นคงเป็นงานถนัดของนายแน่ๆ"""
ssn_019130_002_0360#0,"""ว่าไงล่ะ? จะรับงานนี้ไหม?"""
ssn_019130_002_0370#0,"""คุณโลซีย์ ทำแบบนั้นมันจะดี..."""
ssn_019130_002_0380#0,"""ต-แต่ว่า จะขอร้องด้วยเหมือนกัน ช่วยพวกเรารวบรวมข้อมูลหน่อยนะ"""
ssn_019130_002_0390#0,"""ไม่รู้ว่าจะไปขอให้ใครช่วยแล้ว..."""
ssn_019130_002_1010#0,"""ย-ยินดีต้อนรับกลับมา ช่วยได้มากเลย..."""
ssn_019130_002_1020#0,"""เป็นไงบ้าง? จะไหวไหม?"""
ssn_019130_002_1030#0,"""ค-ค่ะ มันเกินพอเลย..."""
ssn_019130_002_1040#0,"""เอาล่ะ ดูเหมือนฉันจะเกษียณอย่างเป็นทางการได้แล้วสินะ"""
ssn_019130_002_1050#0,"""นี่ ฝากดูแลเซียมมี่ด้วยนะ?"""
ssn_019130_002_1060#0,"""...อย่าพูดแบบนั้นสิ..."""
ssn_019130_002_1070#0,"""ฟังนะ เซียมมี่ค่อนข้างจะเป็นคนขี้อาย แต่ในฐานะวิศวกรแล้ว เธอเป็นคนที่พึ่งพาได้ที่สุดเลยล่ะ"""
ssn_019130_002_1080#0,"""ฉันเองก็นับครั้งไม่ถ้วนเลยที่รอดมาได้เพราะของที่เธอออกแบบ"""
ssn_019130_002_1090#0,"""ดังนั้นจากนี้ไป เซียมมี่จะเป็นคนดูแลนายเป็นอย่างดีเลยล่ะ"""
ssn_019130_002_1100#0,"""คุณโลซีย์..."""
ssn_019130_002_1110#0,"""ขอบคุณสำหรับทุกอย่างนะคะ"""
ssn_019130_002_1120#0,"""อา! ถึงจะพูดแบบนั้น แต่นี่ไม่ใช่การบอกลาครั้งสุดท้ายหรืออะไรหรอกนะ"""
ssn_019130_002_1130#0,"""ในฐานะรุ่นพี่ของหน่วยรบ ฉันจะเริ่มฝึกสอน ARKS น่ะ"""
ssn_019130_002_1140#0,"""ดังนั้นคิดว่าเราคงไม่ได้เจอกันเป็นครั้งสุดท้ายหรอก"""
ssn_019130_002_1150#0,"""ยังไงก็ ไว้เจอกันใหม่นะ ทั้งสองคน"""
ssn_019130_002_1160#0,"""...ค่ะ"""
ssn_019130_002_1170#0,"""แล้วก็... เอ่อ นี่อาจจะรู้สึกเหมือน... โดนบังคับไปหน่อย แต่..."""
ssn_019130_002_1180#0,"""ถ้าไม่รังเกียจ จะขอ... ให้ช่วยอีกในอนาคตได้ไหม?"""
ssn_019130_002_1190#0,"""จะ... มีค่าตอบแทนให้อย่างเหมาะสมแน่นอน"""
ssn_019130_002_1200#0,"""ค่ะ ถ้างั้น เอ่อ... หวังว่าจะได้ร่วมงานด้วยนะ"""
ssn_019130_002_5010#0,"""คุณโลซีย์ เป็นคนคอย... ช่วยเหลือเรื่องการวิจัยของฉันมาตลอดเลย..."""
ssn_019130_002_5020#0,"""ก็เลย... ประหม่านิดหน่อยน่ะ..."""
ssn_019130_002_6010#0,"""ต่อจากนี้ไป... เอ่อ ขอบคุณที่ช่วยนะ"""
ssn_019130_002_6020#0,"""...อ้อ เรื่องอุปกรณ์น่ะ เอ่อ... ถ้าต้องการอะไร... บอกได้เลยนะ"""
