Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn1 /ci1 1 저기, 리사 씨.<br>살기에 이끌려서, 적들이<br>기어나오고 있는데요……"""
Success#1,"""/mn19 /ci1 1 저기, 리사 씨.<br>분명 케이크 가게를 찾아 나서자는<br>이야기가 아니었나요……"""
Failure#1,"""/mn2 /ci4 1 미, 미안합니다.<br>해산하도록 하겠습니다!"""
Dead#1,"""/ci4 1 우우……케이크 가게를<br>찾으러 왔을 뿐인데<br>어째서 이런 꼴이……"""
BuddyDead#1,"""/mn20 /ci2 1 저기, 리사 씨.<br>휴식 치고는 너무 너덜너덜하지<br>않으신가요?"""
Evolution#1,"""/ci1 1 저로서는, 가능한 빨리<br>케이크 가게가 나타나주길<br>바라고 있지만요……"""
Begin#2,"""/ci1 1 아, 안녕하세요.<br>도저히 안절부절스러워서<br>리사 씨를 따라왔습니다."""
Success#2,"""/ci2 1 그래요, 여기는 저희에게 맡기고<br>당신은 먼저 나아가 주세요!"""
Failure#2,"""리사 씨!<br>미안해요, 귀환합니다!<br>마토이 씨를, 부탁드릴게요!"""
Dead#2,"""우우……이 이상은 힘들어요……"""
BuddyDead#2,"""와와와, 리사 씨가<br>화가 나버렸을지도……"""
Begin#3,"""/ci1 1 저도 참가하겠어요-!<br>한꺼번에 처리해버리죠!"""
Success#3,"""/ci2 1 저희는 여기서 양동을 계속하겠습니다!<br>시바는 너무나도 강하지만<br>당신들이라면 분명 괜찮을 거예요!"""
Failure#3,"""/mn2 /ci4 1 리리파의 아이들을 위해서라도<br>힘내지 않으면 안되었는데……<br>분해요……"""
Dead#3,"""/ci4 1 죄송합니다……<br>움직일 수 없게 되었습니다……<br>이탈하겠습니다……"""
BuddyDead#3,"""/ci1 4 멜란디아 씨……!<br>네, 맡겨 주세요!"""
