Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn15 /ci2 1 t5 이 수많은, 에너미의 무리를 뛰어넘은 그 앞에<br>케이크 가게가 있다는 말이렷다!<br>그렇다면! 뛰어넘어 보이도록 하지!"""
Success#1,"""/mn38 /ci2 4 t5 좋았어, 끝났구만!<br>자, 케이크 가게는 이제 눈 앞일 터다!<br>우리들의 앞길을 그 누가 막을쏘냐!"""
Failure#1,"""/mn7 으으음……케이크는 아쉽지만<br>후배들에게 무리를 시킬 수도 없지!<br>미안하지만, 철수하지!"""
Dead#1,"""/mn3 눈 앞의 케이크에 너무 집착해버렸나<br>……나도 아직 한참 미숙하군.<br>별 수 없지, 잠시동안 당한 척이다!"""
BuddyDead#1,"""/toge /mn36 /ci2 3 후하하핫, 후배여!<br>무리는 하지 마라, 잠시 쉬도록!<br>뒤는 우리들이, 어떻게든 해주마!"""
Begin#2,"""/toge /ci2 2 곤란에 빠진 포톤을 느껴!<br>육망균형 휴이, 등장!<br>자아, 이 에너미를 함께 쓰러뜨리자!"""
Success#2,"""/mn17 /ci2 2 좋-아, 끝났구만!<br>그럼, 곤란에 빠져있는 또다른 포톤의 곁으로<br>향하겠다!"""
Failure#2,"""/mn13 /ci4 2 으으음……나는 그렇다치더라도<br>후배들에게 무리를 시킬 수도 없지!<br>미안하지만, 철수하지!"""
Dead#2,"""/mn11 젠장, 방심해버렸나……<br>……나도 아직 한참 미숙하군.<br>별 수 없지, 잠시동안 당한 척이다!"""
BuddyDead#2,"""/mn18 후하하핫, 후배여!<br>무리는 하지 마라, 잠시 쉬도록!<br>뒤는 우리들이, 어떻게든 해주마!"""
