st_012030_0005#0,"""【暴走した理由】<br>仮テキスト"""
st_012035_0010#0,"""Куна, я хочу кое-что спросить."""
st_012035_0020#0,"""Если ты работаешь с <%me>,<br>значит ты объяснила ему ситуацию,<br>верно?"""
st_012035_0030#0,"""Если будут проблемы, я разберусь."""
st_012035_0040#0,"""Я не это спрашивал. И твое<br>\""разберусь\"" означает \""убью\"",<br>а это не выход."""
st_012035_0050#0,"""Значит, суть ты понимаешь,<br>позволь рассказать, что я знаю."""
st_012035_0060#0,"""Раз уж тебя втянули,<br>ты имеешь право узнать."""
st_012030_0070#0,"""О чём это ты?"""
st_012030_0080#0,"""Расследование, которым я занят,<br>моя инициатива... это<br>кое-какой исследовательский<br>комплекс."""
st_012030_0090#0,"""Он занимался определенным<br>объектом, вернее, определенным<br>бешеным драконом.<br>Мне стоит рассказать?"""
st_012030_0100#0,"""っ！？"""
st_012030_0110#0,"""Начну с результатов. Я нашел<br>свидетельства бесчеловечных<br>экспериментов."""
st_012030_0120#0,"""Они пытались экспериментировать<br>с неким драконом, но не смогли<br>обуздать его. В итоге он<br>взбесился."""
st_012030_0125#0,"""После чего они начали<br>эксперименты над людьми,<br>что уже довольно серьезно."""
st_012030_0127#0,"""После начала экспериментов<br>на людях, они стали ещё более<br>бесчеловечными."""
st_012030_0130#0,"""Детали были потеряны, но,<br>я думаю, что информации и так<br>достаточно."""
st_012030_0135#0,"""Похоже, эксперимент обернулся<br>неудачей. Дракон стал берсерком;<br>люди же не смогли преодолеть<br>своих пределов."""
st_012030_0137#0,"""Но был один инцидент."""
st_012030_0140#0,"""Эксперимент, который должен был<br>быть проведен на человеке, был<br>поставлен над драконом, Хадредом."""
st_012030_0150#0,"""В результате раскрылись его<br>скрытые силы, из-за чего он<br>взбесился и уничтожил комплекс."""
st_012030_0160#0,"""Он должен был быть проведен на<br>человеке?..."""
st_012030_0170#0,"""Я до сих пор не могу понять,<br>почему произошел этот инцидент."""
st_012030_0180#0,"""Это ошибка кого-то из ученых,<br>или это как-то связано<br>с испытуемым?"""
st_012030_0190#0,"""Касра, откуда ты столько узнал?"""
st_012030_0200#0,"""Благодаря моему статусу<br>в Совете Шести."""
st_012030_0210#0,"""Люди с такими возможностями<br>должны следить за подобными<br>случаями."""
st_012030_0220#0,"""Пошли. Нам надо покончить с этим."""
st_012030_0230#0,"""A.P.238/4/15/11:00"""
