st_012055_0005#0,"""【虚空に消ゆ】<br>仮テキスト"""
st_012055_0010#0,"""Ар-р-р-р-р-р.."""
st_012055_0020#0,"""Мы его поймали?"""
st_012055_0030#0,"""Он убежал?"""
st_012055_0040#0,"""Нет, похоже, он ещё жив."""
st_012055_0050#0,"""Похоже. Или \""Мы дали ему уйти\""<br>это более подходящая фраза."""
st_012055_0060#0,"""Но не волнуйся, у меня<br>нет причин его отпускать."""
st_012055_0070#0,"""Если кто-то из Отряда смерти<br>позволит цели ускользнуть,<br>ему незачем жить."""
st_012055_0080#0,"""A.P.238/4/15/12:00"""
skit01#0,"""The First Divide"""
skit02#0,"""Глава 9: Несостоятельный вызов на сцену"""
