Area0S#0,"""미션 1"""
Area0L#0,"""아크스 쉽 VR공간(마더 쉽) 미션 1"""
Area1S#0,"""미션 2"""
Area1L#0,"""아크스 쉽 VR공간(다커의 소굴) 미션 2"""
Area2S#0,"""미션 3"""
Area2L#0,"""아크스 쉽 VR공간(괴세구역 지하 갱도) 미션 3"""
Area3S#0,"""미션 4"""
Area3L#0,"""아크스 쉽 VR공간(쿠엔트 성터) 미션 4"""
Area4S#0,"""미션 5"""
Area4L#0,"""아크스 쉽 VR공간(시공의 틈새) 미션 5"""
Area21S#0,"""인터벌 에어리어 1"""
Area21L#0,"""아크스 쉽 VR공간(괴세구역 지하 갱도) 인터벌 에어리어 1"""
Area23S#0,"""인터벌 에어리어 2"""
Area23L#0,"""아크스 쉽 VR공간(마더 쉽 시바) 인터벌 에어리어 2"""
Title#0,"""MISSION：격진"""
Explanation#0,"""아크스 훈련용 프로그램 그 3번째입니다.<br>무대는 구 마더 쉽, 다커의 둥지,<br>지하 갱도, 쿠엔트 성터입니다.<br>출격 전 단말기에서 사용할 클래스 세트를 선택해서<br>클리어를 목표로 해주세요.<br>초기 장비와 소지품은 선택한 세트에 따라서<br>차이가 있으니 주의해 주세요.<br>――――――――――――――――――――<br>목표/５개 미션 클리어<br>※미션 5 이후는 없습니다."""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 미션 １입니다."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 미션 ２입니다."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 미션 ４입니다."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 미션 ５입니다."""
NpcComMsg1#0,"""곧 챌린지를 시작하겠습니다.<br>VR 에너지가 소진되기 전까지 5개<br>미션을 클리어해주세요."""
NpcComMsg2#0,"""각종 휴대용 물품도 현지 조달이 가능합니다.<br>강도 높은 훈련이지만 임기응변으로<br>잘 넘겨주세요. 건투를 빕니다"""
SimpleExplanation#0,"""５개 미션을 클리어 하라!"""
