Title#0,"""ЭТ: Земля и Фантомы"""
Explanation#0,"""絶対的な危機での戦闘能力を測るため<br>疑似再現された空間内での訓練プログラムが<br>確立された。腕に覚えのあるアークス各員は<br>己の限界に挑戦せよ。危険性が高い訓練の為<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>ダークブラスト使用不可<br>スケープドール・ハーフドール使用禁止<br>失敗条件/パーティー全員の戦闘不能<br>制限時間の経過"""
SimpleExplanation#0,"""Пройдите 5 этапов!"""
Area0S#0,"""VR-пространство (Экстрим) местность"""
Area0L#0,"""VR-пространство (Экстрим) местность"""
Area1S#0,"""VR-пространство (Экстрим) местность"""
Area1L#0,"""VR-пространство (Экстрим) местность"""
Area2S#0,"""VR-пространство (Экстрим) местность"""
Area2L#0,"""VR-пространство (Экстрим) местность"""
Area3S#0,"""VR-пространство (Экстрим) местность"""
Area3L#0,"""VR-пространство (Экстрим) местность"""
Area4S#0,"""VR-пространство (Экстрим) местность"""
Area4L#0,"""VR-пространство (Экстрим) местность"""
QuestInfoAreaName#0,"""VR-пространство (Экстрим)"""
a2#0,"""Требуется 1 Extreme Pass."""
