Title#0,"""ОТ: Фантазия и Фантомы"""
Explanation#0,"""こちらは相応の実力を持つ者を対象とした<br>特別訓練プログラムである。的確な判断を<br>瞬時に下せる技術を身に付けるため、全て<br>「単独」で行い本プログラムを制覇せよ。<br>なお、危険性の高い訓練プログラムのため<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>ダークブラスト使用不可<br>スケープドール・ハーフドール使用禁止<br>失敗条件/戦闘不能 """
SimpleExplanation#0,"""Пройдите 5 этапов!"""
Area0S#0,"""VR-пространство (Экстрим) область"""
Area0L#0,"""VR-пространство (Экстрим) область"""
Area1S#0,"""VR-пространство (Экстрим) область"""
Area1L#0,"""VR-пространство (Экстрим) область"""
Area2S#0,"""VR-пространство (Экстрим) область"""
Area2L#0,"""VR-пространство (Экстрим) область"""
Area3S#0,"""VR-пространство (Экстрим) область"""
Area3L#0,"""VR-пространство (Экстрим) область"""
Area4S#0,"""VR-пространство (Экстрим) область"""
Area4L#0,"""VR-пространство (Экстрим) область"""
QuestInfoAreaName#0,"""VR-пространство (Экстрим)"""
a2#0,"""Требуется 1 Extreme Pass."""
