name01#0,"""Карин"""
skit01#0,"""うわーい、やりましたね！<br>全ステージのクリア達成ですよ！<br>いいデータもてんこもり！"""
skit02#0,"""ああ、ちなみに次回は<br>最初のステージから開始です！<br>気をつけて下さいね！ """
skit03#0,"""そのかわり、魅力的なアイテムと<br>交換できるフォトンクリスタルを<br>たっくさんプレゼント！"""
skit04#0,"""なにはともあれ！\u3000今回も<br>ステージオーダー達成数に応じた数の<br>アイテム、持ってっちゃえー！"""
skit05#0,"""エクストリーム端末から<br>好きなの選んで下さいね。<br>ではでは、お疲れ様でした！"""
skit06#0,"""あと、レアアイテムとも交換できる<br>フォトンブースターもサービス！<br>次回も頑張ってくださいね！"""
text01#0,"""カリンから『フォトンクリスタル』を４個受け取りました。"""
text02#0,"""カリンから『フォトンブースター』を２個受け取りました。"""
text03#0,"""カリンから『フォトンクリスタル』を１５個受け取りました。"""
text04#0,"""カリンから『フォトンクリスタル』を６０個受け取りました。"""
