Title#0,"""ЭТ: Иной мир и Надцарство"""
Explanation#0,"""Это спец-программа тренировок для<br>тех, у кого есть способности.<br>Пройдите её в одиночку, чтобы<br>показать, что вы умеете мгновенно<br>принимать верные решения. Для<br>участия требуется Extreme Pass.<br>――――――――――――――――――――<br>Не доступны: Dark Blast'ы<br>Не доступны: Scape Dolls и Half Dolls<br>Провал: Стать небоеспособным<br>Провал: Время истекло"""
SimpleExplanation#0,"""Пройдите 5 этапов!"""
Area0S#0,"""VR пространство: (экстрим) область"""
Area0L#0,"""VR пространство: (экстрим) область"""
Area1S#0,"""VR пространство: (экстрим) область"""
Area1L#0,"""VR пространство: (экстрим) область"""
Area2S#0,"""VR пространство: (экстрим) область"""
Area2L#0,"""VR пространство: (экстрим) область"""
Area3S#0,"""VR пространство: (экстрим) область"""
Area3L#0,"""VR пространство: (экстрим) область"""
Area4S#0,"""VR пространство: (экстрим) область"""
Area4L#0,"""VR пространство: (экстрим) область"""
Area5S#0,"""VR пространство: (экстрим) область"""
Area5L#0,"""VR пространство: (экстрим) область"""
Area6S#0,"""VR пространство: (экстрим) область"""
Area6L#0,"""VR пространство: (экстрим) область"""
Area7S#0,"""VR пространство: (экстрим) область"""
Area7L#0,"""VR пространство: (экстрим) область"""
Area8S#0,"""VR пространство: (экстрим) область"""
Area8L#0,"""VR пространство: (экстрим) область"""
Area9S#0,"""VR пространство: (экстрим) область"""
Area9L#0,"""VR пространство: (экстрим) область"""
Area10S#0,"""VR пространство: (экстрим) область"""
Area10L#0,"""VR пространство: (экстрим) область"""
QuestInfoAreaName#0,"""VR пространство: (экстрим)"""
a2#0,"""Необходим 1 Extreme Pass<br>для оплаты на челноке."""
