name01#0,"""シエラ"""
11_voice_train_04001#0,"""¡Hola!, ¡Este es el curso de entrenamiento [Hunter Basics]!"""
text02#0,"""Comencemos aprendiendo acerca de los <red>Just Attacks<c>!"""
text03#0,"""Aparecera un círculo rojo después de usar ataques normales y Photon Arts. ¡Just Attack significa <red>cronometrar tu ataque<c> con ese círculo!"""
text04#0,"""Usa un ataque normal y mide el tiempo de un Photon Art en el círculo rojo."""
text101#0,"""Tarea 1: <yellow>Just Attack y Photon Art"""
train_title#0,"""Tarea 1: <yellow>Just Attack y Photon Art"""
tut_title#0,"""[Just Attacks]"""
text100#0,"""・ Usa un ataque normal con <%NormalAttack><br> · Cuando veas el círculo rojo,<br>usa un Photon Art con <%PhotonArts>."""
text100_3b#0,"""・ Usa un ataque normal con <%NormalAttack><br> · Cuando veas el círculo rojo,<br>usa un Photon Art con <%PhotonArts>."""
tut_win_title#0,"""[Just Attacks]"""
tut_win_text100#0,"""Con los \""Just Attacks\"" haces más daño de lo normal.<br><br>Al <c 00ffff>presionar el botón de ataque<c> cuando ves el círculo <red>rojo<c>, tu ataque se convierte en un Just Attack.<br><br><c 00ffff>※ Esto también se aplica a los Photon Arts y Techniques<c><br><br><c ff3300>※ Los ataques de los Pets no pueden ser Just Attacks.<c>"""
