name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「ガンナーの基礎」に<br>ついて訓練しましょう！"""
text02#0,"""まずは<red>ツインマシンガンギア<c>について<br>説明します！"""
text03#0,"""ツインマシンガンギアの段階が上がると<br><red>攻撃の威力が上昇<c>するんですよ！"""
text04#0,"""Intenta usar un Photon Art con el <red>Gear en nivel 2 o mas.<c>"""
text101#0,"""課題１：<yellow>ギアを２段階以上ためてフォトンアーツ発動"""
train_title#0,"""課題１：<yellow>ギアを２段階以上ためてフォトンアーツ発動"""
tut_title#0,"""『ツインマシンガンギア』について"""
text100#0,"""・Ataca a los enemigos hasta que alcances el nivel 2 Gear<br>・Usa un Photon Art con <%PhotonArts>"""
text100_3b#0,"""・Ataca a los enemigos hasta que alcances el nivel 2 Gear<br>・Usa un Photon Art con <%PhotonArts>"""
tut_win_title#0,"""『ツインマシンガンギア』について"""
tut_win_text100#0,"""クラススキル「ツインマシンガンギア」を<br>習得しているとツインマシンガンの性能を<br>更に引き出すことができます。<br><br>攻撃し続けることでギア２、ギア３と<br>上昇していきます。<br><br>ツインマシンガンギアの段階に応じて<br>攻撃の威力が上昇します。"""
