name01#0,"""Xiera"""
text01#0,"""Next, I will explain <red>Partizan Gear<c>!"""
text02#0,"""When using a Photon Art, one level of Gear will be consumed to <red>raise the Photon Art's power and range<c>."""
text03#0,"""Partizan Gear can be built by <red>Guarding or by waiting for the \""Dance\"" after an attack<c>!"""
text04#0,"""Try using a Photon Art with <red>one or more levels of Gear<c>."""
text101#0,"""Task 5: <yellow>Use a Photon Art with one or more levels of Gear"""
train_title#0,"""Task 5: <yellow>Use a Photon Art with one or more levels of Gear"""
tut_title#0,"""Partizan Gear"""
text100#0,"""・<%WeaponAction> or \""Dance\"" after a normal attack<br> until you have at least one Gear<br>・Use a Photon Art with <%PhotonArts>"""
text100_3b#0,"""・<%MainPaletteC> or \""Dance\"" after a normal attack<br> until you have at least one Gear<br>・Use a Photon Art with <%PhotonArts>"""
tut_win_title#0,"""Partizan Gear"""
tut_win_text100#0,"""By learning the Class Skill \""Partizan Gear\"", you can further increase the performance of your Partizan.<br><br>Gear is filled by Guarding or by the \""Dance\"" after an attack, and gains one stack every time a level is filled.<br><br>When you use a Photon Art, one stacked Gear is consumed to increase the Photon Art's power and range."""
