name01#0,"""Xiera"""
text01#0,"""<red>ザンバース<c>について<br>説明します！"""
text02#0,"""ザンバースは風属性のテクニックで<br><red>設置した範囲内で攻撃すると<br>風属性の追撃が発生<c>します。  """
text03#0,"""それでは、ザンバースを設置して<br>風属性の追撃を発生させてみましょう。"""
text101#0,"""課題３：<yellow>ザンバースの追撃を発生させる"""
train_title#0,"""課題３：<yellow>ザンバースの追撃を発生させる"""
tut_title#0,"""『ザンバース』について"""
text100#0,"""・<%PhotonArts>でザンバース発動<br>・<%NormalAttack>で通常攻撃を当てると風属性の追撃発生"""
text100_3b#0,"""・<%PhotonArts>でザンバース発動<br>・<%NormalAttack>で通常攻撃を当てると風属性の追撃発生"""
tut_win_title#0,"""『ザンバース』について"""
tut_win_text100#0,"""ザンバースは<br>範囲内で攻撃すると、その攻撃に<br>風属性の追撃が発生する<br>テクニックです。<br><br>一定の時間発動した場所に残り<br>範囲に入ると効果を受けることができます。<br><br>この効果は味方全員が受けることが<br>できます。"""
