name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! Let's learn about the Basics of the Fighter class!"""
text02#0,"""Let's explain how <red>Twin Dagger Gear<c> works!"""
text03#0,"""When the gear gage of Twin Dagger Gear goes up a stage, <red>Photon Arts become stronger<c>."""
text04#0,"""Let's start with <red>raising the Gear Gauge by two stages<c>."""
text101#0,"""Task 1: <yellow>Use a Photon Art after 2 Gear stages.<c>"""
train_title#0,"""Task 1: <yellow>Use a Photon Art after 2 Gear stages.<c>"""
tut_title#0,"""Twin Dagger Gear"""
text100#0,"""・Jump using <%Jump> and use <%WeaponAction> to raise the gauge by 2 stages.<br>・Follow up by doing a Photon Art with <%PhotonArts>"""
text100_3b#0,"""・Jump using <%Jump> and use <%MainPaletteC> to raise the gauge by 2 stages.<br>・Follow up by doing a Photon Art with <%PhotonArts>"""
tut_win_title#0,"""Twin Dagger Gear"""
tut_win_text100#0,"""If you can master the skill \""<red>Twin Dagger Gear<c>\"", you can bring out the performance of Twin Daggers even further.<br><br>The Gear Gauge will rise by jumping or by using your<br><yellow>Weapon Action<c>.<br><br>Each stage on the Gear Gauge will boost the power of<br><pink>Photon Arts<c>."""
