name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Sword Gear<c>!"""
text02#0,"""As Sword Gear fills, you get effects like <red>strengthening and decreasing charge time of Photon Arts<c>!"""
text03#0,"""Try using a Photon Art with <red>Gear at level 2 or higher<c>."""
text101#0,"""Task 3: Use a Photon Art with 2 or more levels of Gear"""
train_title#0,"""Task 3: Use a Photon Art with 2 or more levels of Gear"""
tut_title#0,"""Sword Gear"""
text100#0,"""・Attack enemies until you reach level 2 Gear<br>・Use a Photon Art with <%PhotonArts>"""
text100_3b#0,"""・Attack enemies until you reach level 2 Gear<br>・Use a Photon Art with <%PhotonArts>"""
tut_win_title#0,"""Sword Gear"""
tut_win_text100#0,"""By learning the Class Skill \""Sword Gear\"", you can further increase the performance of your Sword.<br><br>By attacking enemies, you will reach Gear 2, then Gear 3.<br><br>As Sword Gear fills, you get effects like strengthening Photon Arts and decreasing their charge time."""
