un_047060_0010#0,"""아, <%me>.<br>휴식중? 후훗, 나도야."""
un_047060_0020#0,"""몸은 제대로 다 정화했지만<br>무리하면 또 필리아 씨가<br>혼내니까 적당히 휴식."""
un_047060_0030#0,"""게다가 우리가 쉬고 있던 동안<br>아크스 쉽도 여러모로 바뀌어서<br>구경하기만 해도 즐거워."""
un_047060_0040#0,"""……<%me>.<br>지금 그 사람, 분명 서모너 클래스 제창자인<br>피에트로 씨, 맞지?"""
un_047060_0050#0,"""……하아.<br>아아, 마이 프렌드와 반려 씨.<br>수호휘사 두분께서 휴식중이구나."""
un_047060_0060#0,"""어, 어어, 반려라니……!<br>그랬으면 좋겠다고 생각할 때도 있지만!<br>있지만…… 그렇게 대놓고……!"""
un_047060_0065#0,"""어, 어어, 반려라니……!<br>부, 분명 여자끼리도 동반자라는 의미는<br>맞긴 하지만…… 그렇게 말하면……!"""
un_047060_0070#0,"""반려, 좋잖아.<br>아이건 친구건, 그런 것이<br>항상 곁에 있어야한다고 생각해."""
un_047060_0080#0,"""하아아…… 하아."""
un_047060_0090#0,"""무슨 일 있었어?"""
un_047060_0100#0,"""그럼 이만"""
un_047060_0110#0,"""아아, 마이 프렌드, 물어봐주는구나!<br>역시 친구는 있어야한다니까!"""
un_047060_0120#0,"""기다려줘 마이 프렌드!<br>이럴땐 「무슨 일 있었어」라고<br>물어봐야 하잖아? 친구로서!"""
un_047060_0130#0,"""……나는 말이야, 떠올려버렸어.<br>혹시 내가 사랑하는 아이들이 별로<br>나를 사랑하지 않는 것은 아닌가 하고."""
un_047060_0140#0,"""아아 마이 프렌드! 굳이 말할 필요 없어!<br>알고 있어! 결코 그렇지 않다는 것은<br>알고 있다고!"""
un_047060_0150#0,"""……나는 용서할 수 없어.<br>잠깐이라도 그 아이들의 애정을<br>의심해버린 나 자신이 말이야!"""
un_047060_0160#0,"""그러니 이 고독은 나 스스로에 대한 벌이야.<br>그 아이들도 그걸 이해하고 결코 나를<br>보지 않고, 멈추려고도 하지 않았어……!"""
un_047060_0170#0,"""그건 무시당하고 있던 거 아냐?"""
un_047060_0180#0,"""그렇게 고민하지마"""
un_047060_0190#0,"""쉬잇!<br><%me>! 말하면 안돼!"""
un_047060_0200#0,"""그, 그래!<br><%me> 말이 맞아!"""
un_047060_0210#0,"""그리고, 네가 외롭다고 생각하면<br>네 펫도 같은 생각일 거야."""
un_047060_0220#0,"""이럴 땐 고개를 끄덕이는 거야!<br>정말 정말 정말!"""
un_047060_0230#0,"""……아, 봐봐!"""
un_047060_0240#0,"""핫…… 에, 엘리자베트!"""
un_047060_0250#0,"""……아, 아니, 안돼!<br>나는 너희를 볼 낯이 없어!<br>나는 최악의 인간이야……!"""
un_047060_0260#0,"""너희가 내게 주는 강타, 찌르기, 깨물기의<br>형태를 한 무상의 애정!"""
un_047060_0270#0,"""나는 그 애정을 의심하고<br>「혹시 나 싫어해서 공격하나?」<br>하고 잠깐이라도 생각해버렸어!"""
un_047060_0280#0,"""말을 하할 수 없는 너희가 그래도<br>몸을 사용해 전해주는 애정을 의심하다니.<br>……이 어쩜 무거운 죄인가. 서모너 실격이야!"""
un_047060_0290#0,"""……아아 안돼, 엘리자베트!<br>내게 가까이 오지 말아줘!<br>나는…… 나는……!"""
un_047060_0300#0,"""저, 저기, <%me>.<br>내 착각이 아니라면<br>피에트로 씨가 다가가고 있지, 저거……"""
un_047060_0310#0,"""에, 엘리자베트……!<br>네 그 애정표현…… 넌 아직 이런 나를<br>용서해준다는 말이야……!"""
un_047060_0320#0,"""……엘리자베에트으으읏!<br>고마워 엘리자베트! 고마워!<br>난 이제 결코 너희 애정을 의심하지 않을게!"""
un_047060_0330#0,"""하하핫 엘리자베트!<br>평소보다 강렬하구나, 너도 외로웠구나!<br>좋아좋아, 좋아좋아좋아 아파 아파!"""
un_047060_0340#0,"""……자, 돌아가서 식사를 하자꾸나!<br>오늘은 애정이 듬뿍 담긴 진수성찬이야!"""
un_047060_0350#0,"""……어, 뭐라 판단하면 좋을지<br>어렵긴 한데 말이야."""
un_047060_0360#0,"""계속 떠나지 않는다는 건<br>피에트로 씨의 펫들도<br>분명 나쁘게 생각하지는 않는다는 거겠지."""
un_047060_0370#0,"""어이쿠, 안되지 엘리자베트!<br>진수성찬은 집에 돌아가서고, 나는 진수성찬이……<br>아니 아파아파 아야야야야얏!!"""
un_047060_0380#0,"""…………아마도."""
