st_047070_0001#0,"""A.D.2028/4/23/14:00"""
st_047070_0010#0,"""…마더!"""
st_047070_0020#0,"""기다리고 있었다, 야사카 히츠기.<br>그리고 <%me>"""
st_047070_0030#0,"""쓸데없는 자들도 따라온 것 같으나…<br>나는 관대하다.<br>이곳에 발을 들인 것은 용서하겠다."""
st_047070_0040#0,"""꽤 거들먹대는군, 마더.<br>마치 여기가 네 것이라고<br>말하는 듯한 태도잖아?"""
st_047070_0050#0,"""절묘한 표현이군."""
st_047070_0060#0,"""네 말이 맞다, 야사카 엔가.<br>…여기는 나 자신이다."""
st_047070_0070#0,"""<%me><br>본 기억이 있지 않나?<br>이곳과 비슷한 장소를 알고 있을 것이다."""
st_047070_0080#0,"""마더 쉽 중추…"""
st_047070_0090#0,"""시온의 내부…"""
st_047070_0100#0,"""바로 그렇다.<br>이곳은 나 자체가 형태를 이룬 곳.<br>이 세계에 정착된 나의 장소이다."""
st_047070_0110#0,"""포토너에게 만들어지고, 그 제멋대로인 처사로<br>아공간에 버려진 나는 기나긴 세월<br>우주를 떠돌다 태고의 지구에 도착했다."""
st_047070_0120#0,"""그것은 얼마나 오래전 일이었을까…<br>나는 지구와 충돌했고, 그 충격으로<br>지구는 변질되어 새로운 진화를 이루었다."""
st_047070_0130#0,"""그리고 지구와 충돌해 부서진 나는…<br>부서진 나는 유구한 세월을 지나<br>마침내 한곳에 모여 형태를 이루었다."""
st_047070_0140#0,"""그것이야말로 달이라 불리는 것이며, 이 장소다."""
st_047070_0150#0,"""설마 그건<br>자이언트 임팩트…?"""
st_047070_0160#0,"""…박식하군, 야사카 엔가.<br>지구인은 달의 기원을 그렇게 부르지."""
st_047070_0170#0,"""다만 부딪힌 것이 행성이 아니라<br>버려진 전지 존재의 모방체였다는 건<br>…알 길이 없었겠지만."""
st_047070_0180#0,"""에스카 다커!?<br>이런 곳까지…!?"""
st_047070_0190#0,"""방해하지 마라, 다커 놈들.<br>나는 아직 여기에 있다.<br>내 바람은, 목적은, 따로 있다."""
st_047070_0200#0,"""나는… 내 목적은…<br>시온의 모방체로서의 기능을 되찾아…<br>나를 버린 포토너 놈들에게 복수하는 것."""
st_047070_0210#0,"""나는 실패작이 아니란 걸 보여 주겠다."""
st_047070_0220#0,"""세계의 파멸 따윈 바라지 않는다…!<br>포톤의 행방 따윈 아무래도 좋다…!<br>그건 내가 이용하기 위한 것에 불과하다!"""
st_047070_0230#0,"""나는… 내가 해야 할 일은…<br>지구와, 달과… 별과 하나가 되어 저쪽으로 돌아가…<br>…놈들에게 보란 듯이 증명해 보이는 것이다!"""
st_047070_0240#0,"""그걸 위해서… 알을 흡수했다는 거야?<br>복수를 위한 힘을 얻기 위해서…?"""
st_047070_0250#0,"""…그렇다.<br>포톤을 지배한 나를 증명하면<br>복수는 완성된다."""
st_047070_0260#0,"""다크 펄스와, 포톤과…<br>내 에테르의 융합체, 알.<br>그 모든 것을 얻기에 걸맞은 그릇이었다."""
st_047070_0270#0,"""하지만 그 안에 남은 연결…<br>야사카 히츠기, <%me><br>두 사람과의 연결이 알의 존재를 계속 남긴다."""
st_047070_0280#0,"""이 연결은 끊어야만 한다.<br>그러기 위해… 두 사람은 죽어 줘야겠다."""
st_047070_0290#0,"""포토너는 이미 전멸했어"""
st_047070_0300#0,"""복수의 끝에 무엇이 있지"""
st_047070_0310#0,"""그렇기에 더더욱!<br>놈들이 멸망하고 내가 남았다면<br>내 존재가 옳았다는 절대 증명이다!"""
st_047070_0320#0,"""모른다! 나는 아직 전지 존재가 아니다!<br>하지만 미래란 도달한 끝에서 보는 것임은 안다!"""
st_047070_0330#0,"""…이제 문답으로는 끝이 나지 않는다.<br>그렇지 않나, 야사카 히츠기."""
st_047070_0340#0,"""…그렇네, 마더.<br>내 목적은 알을 되찾는 것.<br>그걸 위해서 마더를 쓰러뜨릴 거야."""
st_047070_0350#0,"""내 목적은 포토너에 대한 복수.<br>그 목적을 위해 죽여야 할 이는 <%me><br>그리고 야사카 히츠기, 그 둘이다."""
st_047070_0360#0,"""서로 나아가는 길이 만날 일은 없어."""
st_047070_0370#0,"""그 말이 맞다."""
st_047070_0380#0,"""…자, 간다, 정화의 아이여!<br>제군이 옳다면 나를 쓰러뜨리고<br>그자… 알을 내 안에서 구해 보아라!"""
line01#0,"""여기까지의 퀘스트 진행을 기록했습니다."""
