un_047040_0010#0,"""오오, <%me>인가!<br>건강해보이는구나!"""
un_047040_0020#0,"""나는 지금부터 선대와 데이트하러 간다!<br>흐흥, 좋겠지! 부럽지!"""
un_047040_0030#0,"""데, 데이트 아니야!<br>그저 훈련을 돕는 것뿐이니까!"""
un_047040_0040#0,"""내 훈련 상대가 되려면<br>어지간한 상대로는 불가능해서 말이다!<br>가끔 선대에게 상대를 부탁하고 있지!"""
un_047040_0050#0,"""클라리스 클레이스, 봐주지 않으니까……<br>상대가 겁먹는 것도 어쩔 수 없다 생각해."""
un_047040_0060#0,"""훈련에서 봐준다고 의미가 없잖아.<br>실력을 확인하는 게 훈련이니 말이야."""
un_047040_0070#0,"""아하하…… 그건 정말 맞는 말이지만……<br>자신감을 불어넣는다는 의미도 있으니까.<br>가끔은 당하는 역할을 연기하는 것도 필요하다고?"""
un_047040_0080#0,"""당하는 역할? 선대도 연기하고 있는 거야?<br>……혹시 나랑 훈련할 때도?"""
un_047040_0090#0,"""앗…… 아니, 그게……<br>나는 전력! 항상 전력이야! 응!<br>그렇지, <%me>!"""
un_047040_0100#0,"""거짓말을 못하네"""
un_047040_0110#0,"""전력을 다하면 죽는다고"""
un_047040_0120#0,"""정말! 말하면 어떡해!"""
un_047040_0130#0,"""……선대.<br>아무리 나라도 지금 그건 눈치챘다고."""
un_047040_0150#0,"""……그거, 옛날에 내가 했던 말이지.<br>억지로 화제를 돌리려 하지않아도 돼."""
un_047040_0160#0,"""나는 원래 선대보다 능력이 부족하다.<br>봐주더라도 어쩔 수 없지."""
un_047040_0170#0,"""허나 선대가 어떻게 하든 내가 선대와<br>동등하게 싸우고 있다는 것은 어엿한 사실.<br>……즉 나와 선대는 호각이다!"""
un_047040_0180#0,"""상대의 사정 따윈 내 알 바 아니지.<br>「이기면 강하다, 지면 약하다, 그걸로 족하다」라고<br>휴이가 말했으니까 나도 그렇게 생각해."""
un_047040_0190#0,"""……응, 그러게.<br>클라리스 클레이스."""
un_047040_0200#0,"""하지만~, 노골적으로 봐준다면<br>그것도 그것 나름대로 열받아~!"""
un_047040_0210#0,"""좋~아, 선대!<br>오늘은 적당히 봐주기 없이 승부야!<br>알겠지, 반드시다!"""
un_047040_0220#0,"""어어…… 하지만…………"""
un_047040_0230#0,"""반드시다!"""
un_047040_0240#0,"""……응, 알겠어.<br>오늘은 여태까지 이상으로 전력을 다할게!"""
un_047040_0250#0,"""후훗, 바라던 바다!"""
