un_047030_0010#0,"""Ohh, it's so big...<br>So this is the headquarters<br>of Earth Guide?"""
un_047030_0020#0,"""Now, Kohri, don't run around<br>poking things. It's rude, since<br>we were invited to come here."""
un_047030_0030#0,"""Look who's talking.<br>This is just like a certain someone."""
un_047030_0040#0,"""Quiet you."""
un_047030_0050#0,"""Kohri Washinomiya,<br>I am Sir Ardem Sacred."""
un_047030_0060#0,"""Along with Enga and Hitsugi, I am<br>happy to meet you. One who will surely<br>carry the future of Earth's evolution."""
un_047030_0070#0,"""Uhh, thank you for your hospitality.<br>But, I'm not that amazing of a person."""
un_047030_0080#0,"""No need to be humble. For Earth--for<br>which has hit the limit in its evolution--<br>those who can use ether, such as<br>yourself, are the key to evolution."""
un_047030_0090#0,"""I hope you all can take pride in your abilities. That power will usher in a new evolution to the Earth, a light of hope. Realize that you will carry on to next era of the Earth."""
un_047030_0100#0,"""Even if you told me all of that,<br>I'm content if I could just stay alongside Hitsugi."""
un_047030_0110#0,"""All I want to do is save Aru.<br>So all that stuff is rather...<br>Big bro, I'm counting on your support."""
un_047030_0120#0,"""I'm already sick of hearing that.<br>You're going to say that to everyone, aye."""
un_047030_0130#0,"""Of course, it's a fact."""
un_047030_0140#0,"""This is something that we can't just<br>rely on <%me> or ARKS for.<br>This is a problem for Earth alone."""
un_047030_0150#0,"""Evolution on Earth has stagnated. And if we don't push people who have reached their limits into a new stage, all that awaits us is Earth's demise."""
un_047030_0160#0,"""While defeating Mother is important, planning for the future is just as important as well."""
un_047030_0170#0,"""That sounds like something a salesman would pitch. Careful, or you might get caught up in your own words."""
un_047030_0180#0,"""It's alright. I'm confident in your abilities, Enga."""
un_047030_0190#0,"""Oh right, I had a meeting scheduled. My apologies, but I must take my leave now. Please, make yourself at home."""
un_047030_0200#0,"""Ardem looks really busy."""
un_047030_0210#0,"""Well, he holds a lot of influence, so he's being dragged into different conflicts as a mediator and negotiator."""
un_047030_0220#0,"""I'm sure he's well rewarded for his help, so there's no need for sympathies for him."""
un_047030_0230#0,"""I kinda don't like him. He rubs me as sort of insane."""
un_047030_0240#0,"""Insane you say...<br>He's always suffering due to the world, but recently, he does seem different."""
