un_047020_0010#0,"""오오, <%me>!<br>마침 돌아온 참인가?"""
un_047020_0020#0,"""우리도 지금 마침<br>회의가 끝난 참이야!<br>똑같네, 똑같아!"""
un_047020_0030#0,"""똑같긴 뭘 똑같아.<br>이쪽은 엄청 길어진 결과잖아.<br>회의는 춤춘다는 말이 괜한 말이 아니네, 정말."""
un_047020_0040#0,"""사라가 내 제안에 이의만 제기하지 않았으면<br>금세 끝났을 것 같은데?"""
un_047020_0050#0,"""그런 터무니없는 안을 통과하게 둘 순 없지.<br>내가 마리아한테 혼난다고."""
un_047020_0060#0,"""무장제한의 폐지와 강력한 무장의 일제공급.<br>……나쁘지 않다고 생각하는데."""
un_047020_0070#0,"""모두의 몸이 따라주지 못한다고.<br>게다가 그만한 재료는 어디서 조달할 셈인데?"""
un_047020_0080#0,"""너, 자기 기준으로 생각하는 걸<br>적당히 그만두도록 해."""
un_047020_0090#0,"""자 자, 둘 다<br>지난 일은 말해봤자 소용 없다고!"""
un_047020_0100#0,"""소란스러워 미안하군.<br>각 부 대표자가 모인 회의가 끝났거든."""
un_047020_0110#0,"""알고 있겠지만<br>놀랍게도 내가 전투부의 사령관이 되었지!"""
un_047020_0120#0,"""내가 그 차석이 되어버렸다고!<br>핫핫하!"""
un_047020_0130#0,"""정말 위험한 인선이지……<br>뭐, 그쪽은 할 일이 단순한 부서니까<br>딱히 상관은 없지만."""
un_047020_0140#0,"""내가 있는 총무부는<br>말하자면 허드렛일 담당이야, 허드렛일.<br>자재 관리나 그런 것들의 총괄."""
un_047020_0150#0,"""레기아스가 교도부를 바래서, 누님이<br>총무부의 사령관이 되었지만……<br>정해졌을 때 누님의 표정은 걸작이었지."""
un_047020_0160#0,"""덕분에 거의 모든 일이 나한테 돌아와서<br>이쪽은 엄청 성가시다고."""
un_047020_0170#0,"""자아 둘 다!<br>느긋하게 얘기하는 건 여기까지다!<br>각 부로 돌아가서 보고를 정리하자!"""
un_047020_0180#0,"""오~!<br><%me>!<br>다음에 같이 출격하자!"""
un_047020_0190#0,"""나도 돌아갈게.<br>다음에 봐, <%me>."""
