un_047050_0010#0,"""Bouncer!<br>Please show your support for Bouncer!<br>Hey, you too Io, get your act together!"""
un_047050_0020#0,"""S-support Bravers .. too!"""
un_047050_0030#0,"""Don't be seduced by Summoner's allure!<br>You too, Io!"""
un_047050_0040#0,"""I don't think the issue is being a<br>Summoner however..."""
un_047050_0050#0,"""Io, please, this is serious!"""
un_047050_0060#0,"""Well, even if you ask me to take it<br>seriously ... rather, why are you using<br>the exact advertisement strategy<br>Azanami used?"""
un_047050_0070#0,"""If Summoners are using the appeal of<br>their pets, then that means, we the class<br>representatives, must use our own looks and<br>charms to win their hearts!"""
un_047050_0080#0,"""Those pets are used by Summoners as cheap<br>tactics to lure people, such as <%me>...<br>It's unforgivable!"""
un_047050_0090#0,"""I'm pretty sure that's just<br>in your head."""
un_047050_0100#0,"""Ah, <%me>.<br>I apologize for Katori's antics."""
un_047050_0110#0,"""Out of nowhere, there was a request from<br>Katori herself, to promote Bouncer.<br>And when I decided to see for myself,<br>well... it speaks for itself."""
un_047050_0120#0,"""1. You sure it's ok?"""
un_047050_0130#0,"""2. What are they doing?"""
un_047050_0140#0,"""It's not an issue.<br>Once they realize how pointless it is,<br>I'm sure they'll give up."""
un_047050_0150#0,"""Promoting Bouncer. I've heard that Azanami did the same thing."""
un_047050_0160#0,"""The thought of \""Summoners are unfair;<br>I don't want to lose to them\"", honestly<br>doesn't make much sense."""
un_047050_0170#0,"""Though, Katori is trying her best to<br>spread the word of Bouncer. That alone<br>deserves praise."""
un_047050_0180#0,"""Rather than to jump straight into the<br>action--it's better to have ambition,<br>regardless of the idea behind it.<br>In this way, the training has its merit."""
un_047050_0190#0,"""However, I do feel sorry for Io, who<br>was dragged into Katori's schemes..."""
un_047050_0200#0,"""I suppose all she can do is give<br>up and say that she was caught<br>up in the moment."""
un_047050_0210#0,"""Bouncer! Bouncer!<br>Bouncers are better than Summoners!<br>Please give your support to Bouncer!"""
un_047050_0220#0,"""Uh, B-braver... support Bravers too..."""
un_047050_0230#0,"""Quickly, Io!<br>Next up is the Gate Area!"""
un_047050_0240#0,"""Please give me a break..."""
