un_047010_0010#0,"""Oh my, my my! How strange! How very strange!"""
un_047010_0020#0,"""If Lisa's memory banks are correct, an individual who's currently registered as an enemy has just appeared?"""
un_047010_0030#0,"""Ah, ummm... Well..."""
un_047010_0040#0,"""Would you happen to be an intruder? Did you come back just for Lisa?!"""
un_047010_0050#0,"""Hehehe. Lisa will give you a warm welcome, you know? Thanks to you, now Lisa can shoot her gun all she wants inside the ARKS Ship!"""
un_047010_0060#0,"""...Hey, it won't fire. Did Lisa's gun malfunction?"""
un_047010_0070#0,"""Wawawawawawait a minute! Please calm down! I'm no longer an enemy!"""
un_047010_0080#0,"""That certainly sounds like something an enemy would say when begging for their life, you know?"""
un_047010_0090#0,"""Agh... You're right! What's more, even if you let me go, I could be all like \""You fool!\"" and attack you from behind!"""
un_047010_0100#0,"""And if you saw through even my sneak attack, you wouldn't fall for another trick so there'd be no escape for me, so then I'd go back to begging for my life!"""
un_047010_0110#0,"""...WAIT, NO!"""
un_047010_0120#0,"""C-Come on, everyone... Back me up here! Wait, why do you look like you're enjoying this?!"""
un_047010_0130#0,"""Nah, it just brings back some memories. My first encounter with her was pretty much like that."""
un_047010_0140#0,"""...Yeah, she pretty much read me like a book. I remember it like it was yesterday."""
un_047010_0150#0,"""A sibling bonding moment?! Eeek! Save me, <%me>!"""
un_047010_0160#0,"""Lisa's pretty much a rite of passage."""
un_047010_0170#0,"""Come to think of it, weren't you an enemy...?"""
un_047010_0180#0,"""What kind of organization is ARKS!"""
un_047010_0190#0,"""This isn't the time for jokes!"""
un_047010_0200#0,"""Lisa's just so very curious, that's all. Lisa wants to know how different shooting someone from Earth feels compared to shooting an ARKS."""
un_047010_0210#0,"""D-Does that mean you've shot a member of ARKS before?"""
un_047010_0220#0,"""Anything up to three shots is considered accidental."""
un_047010_0230#0,"""That's still definitely on purpose!"""
un_047010_0240#0,"""...Ah! How about this, then? If you're no longer an enemy, how about you join Lisa on a mission and show her what you can do?"""
un_047010_0250#0,"""I would get shot! This conversation is definitely heading towards an \""accidental\"" shooting!"""
