text100#0,"""Ежедневные заказы"""
text101#0,"""Ежедневные заказы - заказы клиентов меняющиеся<br>ежедневно.<br><br>Для некоторых ежедневных заказов, связанных<br>с уничтожением врагов или сбором  предметов,<br>вы можете сдать столько, сколько захотите,<br>и получите пропорциональную награду."""
Npc49_01_010#0,"""Как следует из названия,<br>ежедневные заказы - заказы<br>меняющиеся ежедневно!"""
Npc49_01_020#0,"""Надеюсь, что вы будете приходить<br>каждый день! Это сделает меня<br>счастливой!"""
Npc49_01_030#0,"""Но, пожалуйста, для начала<br>наберитесь немного опыта!"""
ep6_sq00_01#0,"""Как следует из названия, новые<br>ежедневные заказы становятся<br>доступны каждый день!<br>Пожалуйста, проверяйте<br>их ежедневно!"""
ep6_sq00_02#0,"""Я буду очень рада, если вы<br>будете часто навещать меня!<br>Удачи вам!"""
tutorial01_01#0,"""Вы хорошо поработали сегодня!<br>Я администратор Фаина! Я отвечаю<br>за ежедневные заказы!"""
tutorial01_02#0,"""Я хотела бы дать вам несколько<br>советов по более эффективному<br>выполнению ежедневных и<br>клиентских заказов."""
tutorial01_03#0,"""Именно так! Если вы принимаете<br>много заказов на один и тот же<br>квест, вы сможете выполнить их<br>все разом!"""
tutorial01_04#0,"""Например, если вы выберете заказ<br>'Одолейте любого врага', и ещё<br>'Победить: Даганы', то<br>уничтожение даганов будет<br>засчитываться на оба заказа!"""
tutorial01_05#0,"""Выполнение нескольких заказов<br>в одной и той же области, может<br>сэкономить вам много времени.<br>Пожалуйста, попробуйте!"""
tutorial01_tittel#0,"""Выполнение клиентских заказов"""
tutorial01_tut01#0,"""У многих персонажей на корабле вы можете<br>обнаружить клиентские заказы.<br><br>Перед тем, как отправиться на квест, постарайтесь<br>найти клиентские заказы, которые сможете<br>выполнить во время квеста.<br>Если вы примете несколько клиентских заказов,<br>имеющих отношение к вашему квесту, то сможете<br><yellow>забрать награды<c> за все эти заказы одновременно."""
tutorial01_tut02#0,"""Например, клиентские заказы, в которых вас<br>просят <yellow>одолеть/уничтожить<c> определённого<br>врага, могут быть приняты совместно с заказами<br>на <yellow>выпадающие предметы<c> с тех же самых врагов.<br>Одолев врага, вы <yellow>сможете выполнить оба<br>клиентских заказа<c>.<br><br>Перед тем, как отправиться на квест, поищите<br>соответствующие клиентские заказы."""
