msc_010160_5010#0,"""ย้าก!"""
msc_010160_5020#0,"""ฮึ่ย!"""
msc_010160_0010#0,"""ปัดโธ่เว้ย..."""
msc_010160_0020#0,"""ไอน่า ไปกับสองคนนั้นแล้วหนีไปที่ถ้ำทางเหนือซะ!"""
msc_010160_0030#0,"""อะไรนะคะ? แต่ว่าหนู..."""
msc_010160_0040#0,"""พวกเราอยู่ไปก็มีแต่จะเกะกะเขาเปล่าๆ... นั่นคือสิ่งที่เขาตั้งใจจะบอกนะ"""
msc_010160_0050#0,"""...เข้าใจแล้ว"""
msc_010160_0060#0,"""ไอน่า พวกเราต้องไปแล้ว!"""
msc_010160_0070#0,"""หนู... หนูแค่..."""
msc_010160_0080#0,"""กรี๊ด!"""
msc_010160_0090#0,"""ไอน่า หนีไป!"""
msc_010160_0100#0,"""พวกเธอเองก็ด้วย!"""
msc_010160_0110#0,"""ไปซะ!"""
