ra_010650_0010#0,"""<%me> 씨<br>기다리고 있었습니다."""
ra_010650_0020#0,"""목적은 알고 있습니다.<br>이쪽으로 오세요."""
ra_010650_0030#0,"""제가 먼저 연락을 드리고 싶었지만<br>워험하니 그러지 않는게 좋다, 라고<br>막아 서서…"""
ra_010650_0040#0,"""오셨어요.<br>로지오 씨."""
ra_010650_0050#0,"""<%me> 씨！<br>다행이예요, 다시 만날 수 있어서…!"""
ra_010650_0060#0,"""아앗, 안 돼요!<br>부상이 아직 안나았으니까!"""
ra_010650_0070#0,"""아파… 그래도 다행이예요.<br><%me> 씨께서<br>무사하셔서…"""
ra_010650_0080#0,"""당신도 노려지고 있다고<br>생각했어요."""
ra_010650_0090#0,"""…바로 말씀드리겠습니다.<br>아크스는나베리우스 행성에<br>무언가를 숨기고 있습니다."""
ra_010650_0100#0,"""저는 그것을 찾아내려고 하다가<br>살해당할 뻔했습니다… 그게 제가<br>여기서 이러고 있는 이유입니다."""
ra_010650_0110#0,"""다만, 부끄럽게도<br>어떻게 도움을 받았는지에 대한 건<br>전혀 기억이 나지 않아서…"""
ra_010650_0120#0,"""…아까 전에<br>상처투성이인 이 사람을 업고<br>아크스가 찾아왔어요."""
ra_010650_0130#0,"""그 어린 소녀는<br>그저 『이 사람을 숨겨줘』 라고<br>그 말만 하고 사라져 버렸어요."""
ra_010650_0140#0,"""무슨 일이 일어나고 있는지<br>저는 잘 모르겠지만…<br>굉장히 위험한 느낌이 들고 있습니다."""
ra_010650_0150#0,"""하지만 비밀리에 죽이려고 할 정도로<br>뭔가 위험한 것을 숨기고<br>있는 것도 사실이예요."""
ra_010650_0210#0,"""A.P.238/3/29"""
ra_010660_0050#0,"""동토와 그 주변에서<br>알려지고 싶지 않은 것이 있다면<br>출입을 금지하면 될 텐데…"""
ra_010660_0060#0,"""하지만 실제로 동토와 그 안쪽까지<br>아크스는 출입이 허용되어 있습니다.<br>그럼, 무엇이 문제였을까…"""
ra_010660_0070#0,"""아마도, 문제가 되었던 것은<br>지질조사를 위해 얻었던<br>파라미터가 원인 같습니다."""
ra_010660_0080#0,"""…동토의 조성분에서<br>다커 인자가 검출됐습니다.<br>…표면이 아닌, 깊은 곳에서."""
ra_010660_0090#0,"""이게 의미하는 것은 다커가<br>아주 오래전부터 나베리우스에<br>존재했다는 것을 의미합니다."""
ra_010660_0100#0,"""그 사실 자체로는 크게<br>놀라운 일이 아닐지도 모르지만…<br>…한가지 더."""
ra_010660_0110#0,"""…저 동토 자체는 다커가<br>만들어낸 것일지도 모릅니다."""
ra_010660_0120#0,"""무슨 일이 일어났는지,<br>무슨 일이 있었는지<br>저로서는 짐작이 가지 않습니다."""
ra_010660_0130#0,"""하지만 이 정보로 유추할 수 있는<br>무언가가 아크스의 금기를 건드려서<br>저를 노린것…이라고 생각합니다."""
ra_010660_0140#0,"""동토를 만들어낸 듯한 다커…<br>그렇게 거대한 존재…?<br>뭔가 있었던 것 같은데…"""
ra_010660_0150#0,"""…죄송합니다 기억이 나질 않네요.<br>좀 더 알아보도록 하겠습니다."""
ra_010660_0160#0,"""A.P.238/3/30"""
